time_s,eda_uS,phase
-20.0,3.42,pre
-19.9,3.39,pre
-19.8,3.42,pre
-19.7,3.42,pre
-19.6,3.44,pre
-19.5,3.42,pre
-19.4,3.44,pre
-19.3,3.42,pre
-19.2,3.47,pre
-19.1,3.47,pre
-19.0,3.47,pre
-18.9,3.44,pre
-18.8,3.37,pre
-18.7,3.42,pre
-18.6,3.42,pre
-18.5,3.47,pre
-18.4,3.47,pre
-18.3,3.44,pre
-18.2,3.47,pre
-18.1,3.42,pre
-18.0,3.34,pre
-17.9,3.32,pre
-17.8,3.17,pre
-17.7,3.12,pre
-17.6,3.17,pre
-17.5,3.2,pre
-17.4,3.3,pre
-17.3,3.3,pre
-17.2,3.3,pre
-17.1,3.3,pre
-17.0,3.3,pre
-16.9,3.3,pre
-16.8,3.25,pre
-16.7,3.3,pre
-16.6,3.25,pre
-16.5,3.25,pre
-16.4,3.25,pre
-16.3,3.27,pre
-16.2,3.22,pre
-16.1,3.22,pre
-16.0,3.22,pre
-15.9,3.17,pre
-15.8,3.22,pre
-15.7,3.2,pre
-15.6,3.22,pre
-15.5,3.22,pre
-15.4,3.22,pre
-15.3,3.22,pre
-15.2,3.2,pre
-15.1,3.22,pre
-15.0,3.2,pre
-14.9,3.2,pre
-14.8,3.2,pre
-14.7,3.2,pre
-14.6,3.17,pre
-14.5,3.2,pre
-14.4,3.22,pre
-14.3,3.17,pre
-14.2,3.2,pre
-14.1,3.2,pre
-14.0,3.2,pre
-13.9,3.15,pre
-13.8,3.17,pre
-13.7,3.17,pre
-13.6,3.15,pre
-13.5,3.15,pre
-13.4,3.1,pre
-13.3,3.17,pre
-13.2,3.15,pre
-13.1,3.12,pre
-13.0,3.12,pre
-12.9,3.12,pre
-12.8,3.15,pre
-12.7,3.1,pre
-12.6,3.12,pre
-12.5,3.12,pre
-12.4,3.12,pre
-12.3,3.1,pre
-12.2,3.12,pre
-12.1,3.1,pre
-12.0,3.08,pre
-11.9,3.1,pre
-11.8,3.1,pre
-11.7,3.1,pre
-11.6,3.08,pre
-11.5,3.08,pre
-11.4,3.1,pre
-11.3,3.08,pre
-11.2,3.1,pre
-11.1,3.08,pre
-11.0,3.08,pre
-10.9,3.05,pre
-10.8,3.08,pre
-10.7,3.08,pre
-10.6,3.08,pre
-10.5,3.08,pre
-10.4,3.05,pre
-10.3,3.05,pre
-10.2,3.05,pre
-10.1,3.08,pre
-10.0,3.05,pre
-9.9,3.08,pre
-9.8,3.05,pre
-9.7,3.03,pre
-9.6,3.03,pre
-9.5,3.05,pre
-9.4,3.03,pre
-9.3,3.0,pre
-9.2,3.03,pre
-9.1,3.03,pre
-9.0,3.03,pre
-8.9,2.98,pre
-8.8,3.03,pre
-8.7,3.0,pre
-8.6,3.0,pre
-8.5,2.98,pre
-8.4,3.0,pre
-8.3,3.0,pre
-8.2,2.98,pre
-8.1,2.98,pre
-8.0,2.95,pre
-7.9,2.95,pre
-7.8,2.95,pre
-7.7,2.95,pre
-7.6,2.95,pre
-7.5,2.95,pre
-7.4,2.95,pre
-7.3,2.95,pre
-7.2,2.95,pre
-7.1,2.91,pre
-7.0,2.91,pre
-6.9,2.93,pre
-6.8,2.93,pre
-6.7,2.91,pre
-6.6,2.91,pre
-6.5,2.93,pre
-6.4,2.91,pre
-6.3,2.91,pre
-6.2,2.91,pre
-6.1,2.88,pre
-6.0,2.91,pre
-5.9,2.91,pre
-5.8,2.91,pre
-5.7,2.88,pre
-5.6,2.88,pre
-5.5,2.88,pre
-5.4,2.91,pre
-5.3,2.88,pre
-5.2,2.86,pre
-5.1,2.88,pre
-5.0,2.88,pre
-4.9,2.86,pre
-4.8,2.83,pre
-4.7,2.83,pre
-4.6,2.88,pre
-4.5,2.83,pre
-4.4,2.83,pre
-4.3,2.83,pre
-4.2,2.88,pre
-4.1,2.83,pre
-4.0,2.83,pre
-3.9,2.86,pre
-3.8,2.83,pre
-3.7,2.83,pre
-3.6,2.83,pre
-3.5,2.81,pre
-3.4,2.81,pre
-3.3,2.81,pre
-3.2,2.81,pre
-3.1,2.81,pre
-3.0,2.81,pre
-2.9,2.81,pre
-2.8,2.78,pre
-2.7,2.78,pre
-2.6,2.81,pre
-2.5,2.78,pre
-2.4,2.81,pre
-2.3,2.81,pre
-2.2,2.78,pre
-2.1,2.76,pre
-2.0,2.78,pre
-1.9,2.76,pre
-1.8,2.76,pre
-1.7,2.76,pre
-1.6,2.73,pre
-1.5,2.78,pre
-1.4,2.73,pre
-1.3,2.73,pre
-1.2,2.73,pre
-1.1,2.73,pre
-1.0,2.73,pre
-0.9,2.76,pre
-0.8,2.76,pre
-0.7,2.73,pre
-0.6,2.73,pre
-0.5,2.73,pre
-0.4,2.73,pre
-0.3,2.73,pre
-0.2,2.71,pre
-0.1,2.71,pre
0.0,2.71,stroking
0.1,2.71,stroking
0.2,2.71,stroking
0.3,2.71,stroking
0.4,2.71,stroking
0.5,2.69,stroking
0.6,2.69,stroking
0.7,2.71,stroking
0.8,2.69,stroking
0.9,2.69,stroking
1.0,2.66,stroking
1.1,2.64,stroking
1.2,2.66,stroking
1.3,2.66,stroking
1.4,2.69,stroking
1.5,2.66,stroking
1.6,2.66,stroking
1.7,2.69,stroking
1.8,2.64,stroking
1.9,2.66,stroking
2.0,2.66,stroking
2.1,2.64,stroking
2.2,2.66,stroking
2.3,2.64,stroking
2.4,2.66,stroking
2.5,2.64,stroking
2.6,2.66,stroking
2.7,2.64,stroking
2.8,2.66,stroking
