time_s,eda_uS,phase
-20.0,8.45,pre
-19.9,8.47,pre
-19.8,8.47,pre
-19.7,8.54,pre
-19.6,8.57,pre
-19.5,8.57,pre
-19.4,8.67,pre
-19.3,8.76,pre
-19.2,8.79,pre
-19.1,8.69,pre
-19.0,8.81,pre
-18.9,8.86,pre
-18.8,8.76,pre
-18.7,8.81,pre
-18.6,8.81,pre
-18.5,8.96,pre
-18.4,8.86,pre
-18.3,8.84,pre
-18.2,8.96,pre
-18.1,8.98,pre
-18.0,8.96,pre
-17.9,8.94,pre
-17.8,9.16,pre
-17.7,9.11,pre
-17.6,9.2,pre
-17.5,9.08,pre
-17.4,9.2,pre
-17.3,9.18,pre
-17.2,9.23,pre
-17.1,9.16,pre
-17.0,9.18,pre
-16.9,9.18,pre
-16.8,8.91,pre
-16.7,9.25,pre
-16.6,9.13,pre
-16.5,9.3,pre
-16.4,8.98,pre
-16.3,9.13,pre
-16.2,9.11,pre
-16.1,9.03,pre
-16.0,9.03,pre
-15.9,8.76,pre
-15.8,9.08,pre
-15.7,8.94,pre
-15.6,8.84,pre
-15.5,8.91,pre
-15.4,9.03,pre
-15.3,8.94,pre
-15.2,8.79,pre
-15.1,8.94,pre
-15.0,8.84,pre
-14.9,8.86,pre
-14.8,8.84,pre
-14.7,8.94,pre
-14.6,8.89,pre
-14.5,8.74,pre
-14.4,8.81,pre
-14.3,8.86,pre
-14.2,8.81,pre
-14.1,8.74,pre
-14.0,8.76,pre
-13.9,8.67,pre
-13.8,8.76,pre
-13.7,8.69,pre
-13.6,8.59,pre
-13.5,8.62,pre
-13.4,8.42,pre
-13.3,8.47,pre
-13.2,8.33,pre
-13.1,8.5,pre
-13.0,8.08,pre
-12.9,8.2,pre
-12.8,8.15,pre
-12.7,8.08,pre
-12.6,8.08,pre
-12.5,7.96,pre
-12.4,7.96,pre
-12.3,7.84,pre
-12.2,7.76,pre
-12.1,7.76,pre
-12.0,7.64,pre
-11.9,7.64,pre
-11.8,7.59,pre
-11.7,7.57,pre
-11.6,7.45,pre
-11.5,7.5,pre
-11.4,7.4,pre
-11.3,7.3,pre
-11.2,7.25,pre
-11.1,7.23,pre
-11.0,7.1,pre
-10.9,7.06,pre
-10.8,7.01,pre
-10.7,6.81,pre
-10.6,6.98,pre
-10.5,6.91,pre
-10.4,6.93,pre
-10.3,6.71,pre
-10.2,6.76,pre
-10.1,6.79,pre
-10.0,6.57,pre
-9.9,6.71,pre
-9.8,6.45,pre
-9.7,6.64,pre
-9.6,6.52,pre
-9.5,6.54,pre
-9.4,6.59,pre
-9.3,6.62,pre
-9.2,6.54,pre
-9.1,6.27,pre
-9.0,6.57,pre
-8.9,6.42,pre
-8.8,6.47,pre
-8.7,6.3,pre
-8.6,6.47,pre
-8.5,6.52,pre
-8.4,6.25,pre
-8.3,6.35,pre
-8.2,6.42,pre
-8.1,6.52,pre
-8.0,6.18,pre
-7.9,6.59,pre
-7.8,6.57,pre
-7.7,6.84,pre
-7.6,6.69,pre
-7.5,6.59,pre
-7.4,6.88,pre
-7.3,6.62,pre
