time_s,eda_uS,phase
-20.0,10.13,pre
-19.9,10.16,pre
-19.8,10.18,pre
-19.7,10.21,pre
-19.6,10.21,pre
-19.5,10.25,pre
-19.4,10.25,pre
-19.3,10.33,pre
-19.2,10.38,pre
-19.1,10.42,pre
-19.0,10.42,pre
-18.9,10.45,pre
-18.8,10.47,pre
-18.7,10.5,pre
-18.6,10.5,pre
-18.5,10.5,pre
-18.4,10.52,pre
-18.3,10.52,pre
-18.2,10.5,pre
-18.1,10.52,pre
-18.0,10.52,pre
-17.9,10.52,pre
-17.8,10.52,pre
-17.7,10.5,pre
-17.6,10.52,pre
-17.5,10.57,pre
-17.4,10.6,pre
-17.3,10.64,pre
-17.2,10.72,pre
-17.1,10.77,pre
-17.0,10.86,pre
-16.9,10.96,pre
-16.8,11.11,pre
-16.7,11.16,pre
-16.6,11.3,pre
-16.5,11.4,pre
-16.4,11.5,pre
-16.3,11.57,pre
-16.2,11.69,pre
-16.1,11.82,pre
-16.0,11.89,pre
-15.9,12.01,pre
-15.8,12.08,pre
-15.7,12.16,pre
-15.6,12.23,pre
-15.5,12.3,pre
-15.4,12.38,pre
-15.3,12.43,pre
-15.2,12.48,pre
-15.1,12.48,pre
-15.0,12.52,pre
-14.9,12.57,pre
-14.8,12.52,pre
-14.7,12.55,pre
-14.6,12.57,pre
-14.5,12.57,pre
-14.4,12.57,pre
-14.3,12.57,pre
-14.2,12.57,pre
-14.1,12.55,pre
-14.0,12.52,pre
-13.9,12.52,pre
-13.8,12.5,pre
-13.7,12.48,pre
-13.6,12.45,pre
-13.5,12.45,pre
-13.4,12.4,pre
-13.3,12.38,pre
-13.2,12.38,pre
-13.1,12.35,pre
-13.0,12.33,pre
-12.9,12.3,pre
-12.8,12.3,pre
-12.7,12.3,pre
-12.6,12.28,pre
-12.5,12.26,pre
-12.4,12.26,pre
-12.3,12.26,pre
-12.2,12.23,pre
-12.1,12.26,pre
-12.0,12.23,pre
-11.9,12.21,pre
-11.8,12.18,pre
-11.7,12.21,pre
-11.6,12.18,pre
-11.5,12.18,pre
-11.4,12.16,pre
-11.3,12.16,pre
-11.2,12.16,pre
-11.1,12.13,pre
-11.0,12.11,pre
-10.9,12.11,pre
-10.8,12.11,pre
-10.7,12.11,pre
-10.6,12.08,pre
-10.5,12.06,pre
-10.4,12.06,pre
-10.3,12.04,pre
-10.2,12.01,pre
-10.1,12.01,pre
-10.0,12.01,pre
-9.9,11.99,pre
-9.8,12.01,pre
-9.7,11.99,pre
-9.6,11.96,pre
-9.5,11.94,pre
-9.4,11.91,pre
-9.3,11.91,pre
-9.2,11.91,pre
-9.1,11.91,pre
-9.0,11.89,pre
-8.9,11.87,pre
-8.8,11.87,pre
-8.7,11.87,pre
-8.6,11.82,pre
-8.5,11.82,pre
-8.4,11.79,pre
-8.3,11.82,pre
-8.2,11.77,pre
-8.1,11.77,pre
-8.0,11.77,pre
-7.9,11.74,pre
-7.8,11.72,pre
-7.7,11.69,pre
