time_s,eda_uS,phase
-20.0,1.0,pre
-19.9,1.0,pre
-19.8,0.98,pre
-19.7,1.0,pre
-19.6,1.0,pre
-19.5,0.95,pre
-19.4,1.0,pre
-19.3,1.03,pre
-19.2,1.0,pre
-19.1,0.98,pre
-19.0,0.98,pre
-18.9,1.0,pre
-18.8,1.0,pre
-18.7,0.98,pre
-18.6,1.0,pre
-18.5,1.03,pre
-18.4,0.98,pre
-18.3,1.0,pre
-18.2,0.98,pre
-18.1,1.0,pre
-18.0,1.0,pre
-17.9,0.95,pre
-17.8,1.0,pre
-17.7,0.98,pre
-17.6,0.98,pre
-17.5,0.95,pre
-17.4,1.05,pre
-17.3,1.03,pre
-17.2,0.98,pre
-17.1,0.95,pre
-17.0,0.98,pre
-16.9,0.98,pre
-16.8,0.98,pre
-16.7,0.98,pre
-16.6,1.0,pre
-16.5,0.95,pre
-16.4,0.95,pre
-16.3,1.0,pre
-16.2,0.98,pre
-16.1,0.98,pre
-16.0,1.03,pre
-15.9,0.98,pre
-15.8,1.03,pre
-15.7,1.0,pre
-15.6,1.03,pre
-15.5,1.0,pre
-15.4,0.98,pre
-15.3,0.98,pre
-15.2,0.98,pre
-15.1,1.03,pre
-15.0,1.03,pre
-14.9,1.0,pre
-14.8,1.0,pre
-14.7,0.98,pre
-14.6,0.98,pre
-14.5,1.0,pre
-14.4,1.03,pre
-14.3,1.0,pre
-14.2,1.0,pre
-14.1,1.0,pre
-14.0,0.98,pre
-13.9,1.0,pre
-13.8,1.03,pre
-13.7,1.0,pre
-13.6,1.0,pre
-13.5,0.98,pre
-13.4,0.98,pre
-13.3,1.03,pre
-13.2,1.05,pre
-13.1,1.05,pre
-13.0,1.05,pre
-12.9,1.05,pre
-12.8,1.03,pre
-12.7,0.98,pre
-12.6,1.0,pre
-12.5,0.98,pre
-12.4,0.98,pre
-12.3,0.95,pre
-12.2,0.98,pre
-12.1,0.95,pre
-12.0,0.95,pre
-11.9,0.95,pre
-11.8,0.95,pre
-11.7,1.0,pre
-11.6,0.95,pre
-11.5,0.98,pre
-11.4,0.98,pre
-11.3,0.95,pre
-11.2,0.95,pre
-11.1,0.95,pre
-11.0,1.0,pre
-10.9,1.0,pre
-10.8,0.95,pre
-10.7,0.98,pre
-10.6,0.95,pre
-10.5,0.95,pre
-10.4,0.95,pre
-10.3,0.98,pre
-10.2,0.95,pre
-10.1,0.95,pre
-10.0,0.95,pre
-9.9,0.98,pre
-9.8,0.98,pre
-9.7,0.93,pre
-9.6,0.98,pre
-9.5,0.95,pre
-9.4,0.95,pre
-9.3,0.95,pre
-9.2,0.95,pre
-9.1,0.98,pre
