time_s,eda_uS,phase
-20.0,24.9,pre
-19.9,24.9,pre
-19.8,24.9,pre
-19.7,24.9,pre
-19.6,24.9,pre
-19.5,24.9,pre
-19.4,24.9,pre
-19.3,24.9,pre
-19.2,24.9,pre
-19.1,24.9,pre
-19.0,24.9,pre
-18.9,24.9,pre
-18.8,24.9,pre
-18.7,24.9,pre
-18.6,24.9,pre
-18.5,24.9,pre
-18.4,24.9,pre
-18.3,24.9,pre
-18.2,24.9,pre
-18.1,24.9,pre
-18.0,24.9,pre
-17.9,24.9,pre
-17.8,24.9,pre
-17.7,24.9,pre
-17.6,24.9,pre
-17.5,24.9,pre
-17.4,24.9,pre
-17.3,24.9,pre
-17.2,24.9,pre
-17.1,24.9,pre
-17.0,24.9,pre
-16.9,24.9,pre
-16.8,24.9,pre
-16.7,24.9,pre
-16.6,24.9,pre
-16.5,24.9,pre
-16.4,24.9,pre
-16.3,24.9,pre
-16.2,24.9,pre
-16.1,24.9,pre
-16.0,24.9,pre
-15.9,24.9,pre
-15.8,24.9,pre
-15.7,24.9,pre
-15.6,24.9,pre
-15.5,24.9,pre
-15.4,24.9,pre
-15.3,24.88,pre
-15.2,24.88,pre
-15.1,24.88,pre
-15.0,24.83,pre
-14.9,24.83,pre
-14.8,24.8,pre
-14.7,24.73,pre
-14.6,24.71,pre
-14.5,24.66,pre
-14.4,24.58,pre
-14.3,24.54,pre
-14.2,24.49,pre
-14.1,24.44,pre
-14.0,24.39,pre
-13.9,24.37,pre
-13.8,24.29,pre
-13.7,24.24,pre
-13.6,24.17,pre
-13.5,24.12,pre
-13.4,24.07,pre
-13.3,24.02,pre
-13.2,23.93,pre
-13.1,23.85,pre
-13.0,23.83,pre
-12.9,23.8,pre
-12.8,23.73,pre
-12.7,23.71,pre
-12.6,23.61,pre
-12.5,23.56,pre
-12.4,23.49,pre
-12.3,23.44,pre
-12.2,23.39,pre
-12.1,23.34,pre
-12.0,23.27,pre
-11.9,23.22,pre
-11.8,23.19,pre
-11.7,23.12,pre
-11.6,23.12,pre
-11.5,23.07,pre
-11.4,23.05,pre
-11.3,23.0,pre
-11.2,22.97,pre
-11.1,22.92,pre
-11.0,22.85,pre
-10.9,22.83,pre
-10.8,22.75,pre
-10.7,22.71,pre
-10.6,22.63,pre
-10.5,22.61,pre
-10.4,22.53,pre
-10.3,22.49,pre
-10.2,22.44,pre
-10.1,22.39,pre
-10.0,22.34,pre
-9.9,22.29,pre
-9.8,22.24,pre
-9.7,22.22,pre
-9.6,22.14,pre
-9.5,22.12,pre
-9.4,22.05,pre
-9.3,22.0,pre
-9.2,21.97,pre
-9.1,21.9,pre
-9.0,21.87,pre
-8.9,21.85,pre
-8.8,21.8,pre
-8.7,21.78,pre
-8.6,21.73,pre
-8.5,21.7,pre
-8.4,21.68,pre
-8.3,21.63,pre
-8.2,21.53,pre
-8.1,21.56,pre
-8.0,21.51,pre
-7.9,21.48,pre
-7.8,21.44,pre
-7.7,21.44,pre
-7.6,21.48,pre
-7.5,21.56,pre
-7.4,21.63,pre
-7.3,21.68,pre
-7.2,21.68,pre
-7.1,21.63,pre
-7.0,21.44,pre
-6.9,21.24,pre
-6.8,20.97,pre
-6.7,20.75,pre
-6.6,20.48,pre
-6.5,20.24,pre
-6.4,20.0,pre
-6.3,19.8,pre
-6.2,19.63,pre
-6.1,19.51,pre
-6.0,19.43,pre
-5.9,19.38,pre
-5.8,19.34,pre
-5.7,19.31,pre
-5.6,19.24,pre
-5.5,19.21,pre
-5.4,19.19,pre
-5.3,19.14,pre
-5.2,19.14,pre
-5.1,19.12,pre
-5.0,19.12,pre
-4.9,19.17,pre
-4.8,19.17,pre
-4.7,19.21,pre
-4.6,19.31,pre
-4.5,19.43,pre
-4.4,19.68,pre
-4.3,19.95,pre
-4.2,20.21,pre
-4.1,20.51,pre
-4.0,20.8,pre
-3.9,21.09,pre
-3.8,21.34,pre
-3.7,21.56,pre
-3.6,21.8,pre
-3.5,21.97,pre
-3.4,22.14,pre
-3.3,22.27,pre
-3.2,22.36,pre
-3.1,22.46,pre
-3.0,22.51,pre
-2.9,22.53,pre
-2.8,22.58,pre
-2.7,22.61,pre
-2.6,22.63,pre
-2.5,22.63,pre
-2.4,22.66,pre
-2.3,22.68,pre
-2.2,22.68,pre
-2.1,22.73,pre
-2.0,22.73,pre
-1.9,22.75,pre
-1.8,22.78,pre
-1.7,22.83,pre
-1.6,22.92,pre
-1.5,23.07,pre
-1.4,23.27,pre
-1.3,23.51,pre
-1.2,23.8,pre
-1.1,24.1,pre
-1.0,24.34,pre
-0.9,24.54,pre
-0.8,24.71,pre
-0.7,24.8,pre
-0.6,24.8,pre
-0.5,24.8,pre
-0.4,24.8,pre
-0.3,24.78,pre
-0.2,24.76,pre
-0.1,24.68,pre
0.0,24.61,stroking
0.1,24.58,stroking
0.2,24.51,stroking
0.3,24.44,stroking
0.4,24.37,stroking
0.5,24.27,stroking
0.6,24.19,stroking
0.7,24.15,stroking
0.8,24.05,stroking
0.9,24.02,stroking
1.0,23.97,stroking
1.1,23.93,stroking
1.2,23.93,stroking
1.3,23.9,stroking
1.4,23.9,stroking
1.5,23.9,stroking
1.6,23.88,stroking
1.7,23.85,stroking
1.8,23.83,stroking
1.9,23.83,stroking
2.0,23.85,stroking
2.1,23.9,stroking
2.2,23.93,stroking
2.3,24.02,stroking
2.4,24.05,stroking
2.5,24.1,stroking
2.6,24.07,stroking
2.7,24.07,stroking
2.8,24.02,stroking
2.9,23.97,stroking
3.0,23.9,stroking
3.1,23.85,stroking
3.2,23.75,stroking
3.3,23.68,stroking
3.4,23.61,stroking
3.5,23.54,stroking
3.6,23.44,stroking
3.7,23.39,stroking
3.8,23.34,stroking
3.9,23.27,stroking
4.0,23.19,stroking
4.1,23.14,stroking
4.2,23.12,stroking
4.3,23.07,stroking
4.4,23.05,stroking
4.5,23.0,stroking
4.6,23.0,stroking
4.7,22.95,stroking
4.8,22.9,stroking
4.9,22.88,stroking
5.0,22.8,stroking
