time_s,eda_uS,phase
-20.0,10.82,pre
-19.9,10.84,pre
-19.8,10.84,pre
-19.7,10.84,pre
-19.6,10.84,pre
-19.5,10.84,pre
-19.4,10.82,pre
-19.3,10.79,pre
-19.2,10.77,pre
-19.1,10.74,pre
-19.0,10.69,pre
-18.9,10.64,pre
-18.8,10.6,pre
-18.7,10.55,pre
-18.6,10.52,pre
-18.5,10.47,pre
-18.4,10.45,pre
-18.3,10.42,pre
-18.2,10.35,pre
-18.1,10.33,pre
-18.0,10.33,pre
-17.9,10.25,pre
-17.8,10.23,pre
-17.7,10.23,pre
-17.6,10.21,pre
-17.5,10.16,pre
-17.4,10.16,pre
-17.3,10.13,pre
-17.2,10.11,pre
-17.1,10.08,pre
-17.0,10.08,pre
-16.9,10.06,pre
-16.8,10.06,pre
-16.7,10.08,pre
-16.6,10.06,pre
-16.5,10.06,pre
-16.4,10.01,pre
-16.3,9.99,pre
-16.2,10.01,pre
-16.1,9.99,pre
-16.0,9.99,pre
-15.9,9.96,pre
-15.8,9.96,pre
-15.7,9.96,pre
-15.6,9.96,pre
-15.5,9.94,pre
-15.4,9.96,pre
-15.3,9.94,pre
-15.2,9.94,pre
-15.1,9.89,pre
-15.0,9.91,pre
-14.9,9.89,pre
-14.8,9.91,pre
-14.7,9.89,pre
-14.6,9.91,pre
-14.5,9.91,pre
-14.4,9.94,pre
-14.3,9.94,pre
-14.2,9.96,pre
-14.1,9.96,pre
-14.0,9.96,pre
-13.9,9.99,pre
-13.8,9.99,pre
-13.7,9.96,pre
-13.6,9.99,pre
-13.5,9.96,pre
-13.4,9.99,pre
-13.3,9.96,pre
-13.2,9.99,pre
-13.1,9.96,pre
-13.0,9.96,pre
-12.9,9.96,pre
-12.8,9.96,pre
-12.7,9.96,pre
-12.6,9.96,pre
-12.5,9.96,pre
-12.4,9.99,pre
-12.3,10.03,pre
-12.2,10.03,pre
-12.1,10.06,pre
-12.0,10.11,pre
-11.9,10.13,pre
-11.8,10.16,pre
-11.7,10.21,pre
-11.6,10.21,pre
-11.5,10.25,pre
-11.4,10.23,pre
-11.3,10.21,pre
-11.2,10.21,pre
-11.1,10.23,pre
-11.0,10.21,pre
-10.9,10.21,pre
-10.8,10.16,pre
-10.7,10.16,pre
-10.6,10.11,pre
-10.5,10.13,pre
-10.4,10.08,pre
-10.3,10.06,pre
-10.2,10.06,pre
-10.1,10.01,pre
-10.0,9.99,pre
-9.9,9.96,pre
-9.8,9.96,pre
-9.7,9.94,pre
-9.6,9.94,pre
-9.5,9.91,pre
-9.4,9.91,pre
-9.3,9.91,pre
-9.2,9.89,pre
-9.1,9.84,pre
-9.0,9.84,pre
-8.9,9.84,pre
-8.8,9.81,pre
-8.7,9.81,pre
-8.6,9.81,pre
-8.5,9.81,pre
-8.4,9.79,pre
-8.3,9.77,pre
-8.2,9.77,pre
-8.1,9.77,pre
-8.0,9.79,pre
-7.9,9.74,pre
-7.8,9.77,pre
-7.7,9.77,pre
-7.6,9.77,pre
-7.5,9.74,pre
-7.4,9.72,pre
-7.3,9.74,pre
-7.2,9.72,pre
-7.1,9.72,pre
-7.0,9.74,pre
-6.9,9.72,pre
-6.8,9.72,pre
-6.7,9.72,pre
-6.6,9.72,pre
-6.5,9.69,pre
-6.4,9.72,pre
-6.3,9.69,pre
-6.2,9.69,pre
-6.1,9.67,pre
-6.0,9.67,pre
-5.9,9.67,pre
-5.8,9.69,pre
-5.7,9.67,pre
-5.6,9.67,pre
-5.5,9.67,pre
-5.4,9.67,pre
-5.3,9.67,pre
-5.2,9.67,pre
-5.1,9.67,pre
-5.0,9.67,pre
-4.9,9.67,pre
-4.8,9.67,pre
-4.7,9.67,pre
-4.6,9.72,pre
-4.5,9.67,pre
-4.4,9.69,pre
-4.3,9.67,pre
-4.2,9.69,pre
-4.1,9.69,pre
-4.0,9.67,pre
-3.9,9.69,pre
-3.8,9.67,pre
-3.7,9.67,pre
