time_s,eda_uS,phase
-20.0,12.55,pre
-19.9,12.52,pre
-19.8,12.52,pre
-19.7,12.5,pre
-19.6,12.5,pre
-19.5,12.48,pre
-19.4,12.48,pre
-19.3,12.48,pre
-19.2,12.48,pre
-19.1,12.45,pre
-19.0,12.45,pre
-18.9,12.45,pre
-18.8,12.48,pre
-18.7,12.52,pre
-18.6,12.55,pre
-18.5,12.62,pre
-18.4,12.7,pre
-18.3,12.77,pre
-18.2,12.84,pre
-18.1,12.87,pre
-18.0,12.92,pre
-17.9,12.92,pre
-17.8,12.94,pre
-17.7,12.89,pre
-17.6,12.89,pre
-17.5,12.89,pre
-17.4,12.79,pre
-17.3,12.77,pre
-17.2,12.72,pre
-17.1,12.65,pre
-17.0,12.65,pre
-16.9,12.57,pre
-16.8,12.52,pre
-16.7,12.48,pre
-16.6,12.48,pre
-16.5,12.48,pre
-16.4,12.48,pre
-16.3,12.45,pre
-16.2,12.4,pre
-16.1,12.4,pre
-16.0,12.4,pre
-15.9,12.38,pre
-15.8,12.38,pre
-15.7,12.38,pre
-15.6,12.38,pre
-15.5,12.35,pre
-15.4,12.33,pre
-15.3,12.33,pre
-15.2,12.33,pre
-15.1,12.33,pre
-15.0,12.33,pre
-14.9,12.3,pre
-14.8,12.35,pre
-14.7,12.33,pre
-14.6,12.33,pre
-14.5,12.33,pre
-14.4,12.33,pre
-14.3,12.35,pre
-14.2,12.35,pre
-14.1,12.35,pre
-14.0,12.35,pre
-13.9,12.35,pre
-13.8,12.38,pre
-13.7,12.38,pre
-13.6,12.35,pre
-13.5,12.35,pre
-13.4,12.33,pre
-13.3,12.38,pre
-13.2,12.35,pre
-13.1,12.33,pre
-13.0,12.35,pre
-12.9,12.35,pre
-12.8,12.35,pre
-12.7,12.33,pre
-12.6,12.35,pre
-12.5,12.35,pre
-12.4,12.33,pre
-12.3,12.35,pre
-12.2,12.38,pre
-12.1,12.35,pre
-12.0,12.38,pre
-11.9,12.35,pre
-11.8,12.35,pre
-11.7,12.33,pre
-11.6,12.33,pre
-11.5,12.33,pre
-11.4,12.33,pre
-11.3,12.33,pre
-11.2,12.33,pre
-11.1,12.33,pre
-11.0,12.35,pre
-10.9,12.35,pre
-10.8,12.4,pre
