time_s,eda_uS,phase
-20.0,24.9,pre
-19.9,24.9,pre
-19.8,24.9,pre
-19.7,24.9,pre
-19.6,24.9,pre
-19.5,24.9,pre
-19.4,24.9,pre
-19.3,24.9,pre
-19.2,24.9,pre
-19.1,24.9,pre
-19.0,24.9,pre
-18.9,24.9,pre
-18.8,24.9,pre
-18.7,24.9,pre
-18.6,24.9,pre
-18.5,24.9,pre
-18.4,24.9,pre
-18.3,24.9,pre
-18.2,24.9,pre
-18.1,24.9,pre
-18.0,24.9,pre
-17.9,24.9,pre
-17.8,24.9,pre
-17.7,24.9,pre
-17.6,24.9,pre
-17.5,24.9,pre
-17.4,24.9,pre
-17.3,24.9,pre
-17.2,24.9,pre
-17.1,24.9,pre
-17.0,24.9,pre
-16.9,24.9,pre
-16.8,24.9,pre
-16.7,24.9,pre
-16.6,24.9,pre
-16.5,24.9,pre
-16.4,24.9,pre
-16.3,24.9,pre
-16.2,24.9,pre
-16.1,24.9,pre
-16.0,24.9,pre
-15.9,24.9,pre
-15.8,24.9,pre
-15.7,24.9,pre
-15.6,24.9,pre
-15.5,24.9,pre
-15.4,24.9,pre
-15.3,24.9,pre
-15.2,24.9,pre
-15.1,24.9,pre
-15.0,24.9,pre
-14.9,24.9,pre
-14.8,24.88,pre
-14.7,24.88,pre
-14.6,24.88,pre
-14.5,24.85,pre
-14.4,24.83,pre
-14.3,24.8,pre
-14.2,24.78,pre
-14.1,24.76,pre
-14.0,24.71,pre
-13.9,24.71,pre
-13.8,24.71,pre
-13.7,24.68,pre
-13.6,24.68,pre
-13.5,24.68,pre
-13.4,24.71,pre
-13.3,24.83,pre
-13.2,24.9,pre
-13.1,24.9,pre
-13.0,24.9,pre
-12.9,24.9,pre
-12.8,24.9,pre
-12.7,24.9,pre
-12.6,24.85,pre
-12.5,24.78,pre
-12.4,24.61,pre
-12.3,24.41,pre
-12.2,24.22,pre
-12.1,24.02,pre
-12.0,23.83,pre
-11.9,23.66,pre
-11.8,23.49,pre
-11.7,23.34,pre
-11.6,23.19,pre
-11.5,23.05,pre
-11.4,22.95,pre
-11.3,22.8,pre
-11.2,22.68,pre
-11.1,22.61,pre
-11.0,22.53,pre
-10.9,22.46,pre
-10.8,22.36,pre
-10.7,22.34,pre
-10.6,22.29,pre
-10.5,22.24,pre
-10.4,22.22,pre
-10.3,22.14,pre
-10.2,22.09,pre
-10.1,22.02,pre
-10.0,21.95,pre
-9.9,21.9,pre
-9.8,21.83,pre
-9.7,21.73,pre
-9.6,21.66,pre
-9.5,21.58,pre
-9.4,21.51,pre
-9.3,21.44,pre
-9.2,21.39,pre
-9.1,21.29,pre
-9.0,21.24,pre
-8.9,21.17,pre
-8.8,21.12,pre
-8.7,21.09,pre
-8.6,21.04,pre
-8.5,21.0,pre
-8.4,20.95,pre
-8.3,20.9,pre
-8.2,20.85,pre
-8.1,20.78,pre
-8.0,20.73,pre
-7.9,20.68,pre
-7.8,20.63,pre
-7.7,20.58,pre
-7.6,20.51,pre
-7.5,20.46,pre
-7.4,20.41,pre
-7.3,20.34,pre
-7.2,20.29,pre
-7.1,20.26,pre
-7.0,20.21,pre
-6.9,20.14,pre
-6.8,20.12,pre
-6.7,20.07,pre
-6.6,20.04,pre
-6.5,20.0,pre
-6.4,19.95,pre
-6.3,19.92,pre
-6.2,19.9,pre
-6.1,19.85,pre
-6.0,19.82,pre
-5.9,19.78,pre
-5.8,19.75,pre
-5.7,19.7,pre
-5.6,19.68,pre
-5.5,19.63,pre
-5.4,19.6,pre
-5.3,19.58,pre
-5.2,19.53,pre
-5.1,19.51,pre
-5.0,19.43,pre
-4.9,19.41,pre
-4.8,19.36,pre
-4.7,19.29,pre
-4.6,19.21,pre
-4.5,19.14,pre
-4.4,19.09,pre
-4.3,19.02,pre
-4.2,18.92,pre
-4.1,18.9,pre
-4.0,18.82,pre
-3.9,18.77,pre
-3.8,18.75,pre
-3.7,18.68,pre
-3.6,18.65,pre
-3.5,18.6,pre
-3.4,18.55,pre
-3.3,18.53,pre
-3.2,18.48,pre
-3.1,18.43,pre
-3.0,18.41,pre
-2.9,18.36,pre
-2.8,18.33,pre
-2.7,18.31,pre
-2.6,18.26,pre
-2.5,18.21,pre
-2.4,18.16,pre
-2.3,18.14,pre
-2.2,18.07,pre
-2.1,18.02,pre
-2.0,17.99,pre
-1.9,17.94,pre
-1.8,17.92,pre
-1.7,17.87,pre
-1.6,17.82,pre
-1.5,17.77,pre
-1.4,17.72,pre
-1.3,17.7,pre
-1.2,17.65,pre
-1.1,17.63,pre
-1.0,17.58,pre
-0.9,17.55,pre
-0.8,17.53,pre
-0.7,17.48,pre
-0.6,17.48,pre
-0.5,17.46,pre
-0.4,17.41,pre
-0.3,17.41,pre
-0.2,17.36,pre
-0.1,17.36,pre
0.0,17.33,stroking
0.1,17.29,stroking
0.2,17.29,stroking
0.3,17.26,stroking
0.4,17.26,stroking
0.5,17.21,stroking
0.6,17.19,stroking
0.7,17.19,stroking
0.8,17.16,stroking
0.9,17.14,stroking
1.0,17.11,stroking
1.1,17.09,stroking
1.2,17.09,stroking
1.3,17.07,stroking
1.4,17.04,stroking
1.5,16.99,stroking
1.6,16.99,stroking
1.7,16.97,stroking
1.8,16.94,stroking
1.9,16.94,stroking
2.0,16.94,stroking
2.1,16.99,stroking
2.2,17.11,stroking
2.3,17.29,stroking
2.4,17.46,stroking
2.5,17.6,stroking
2.6,17.68,stroking
2.7,17.68,stroking
2.8,17.55,stroking
2.9,17.36,stroking
3.0,17.14,stroking
3.1,16.89,stroking
3.2,16.67,stroking
3.3,16.48,stroking
3.4,16.31,stroking
3.5,16.24,stroking
3.6,16.14,stroking
3.7,16.06,stroking
3.8,16.06,stroking
3.9,16.04,stroking
4.0,16.02,stroking
4.1,15.99,stroking
4.2,15.99,stroking
4.3,15.94,stroking
4.4,15.92,stroking
4.5,15.89,stroking
4.6,15.84,stroking
4.7,15.84,stroking
4.8,15.82,stroking
4.9,15.82,stroking
5.0,15.8,stroking
