time_s,eda_uS,phase
-20.0,7.59,pre
-19.9,7.47,pre
-19.8,7.62,pre
-19.7,7.32,pre
-19.6,7.67,pre
-19.5,7.52,pre
-19.4,7.57,pre
-19.3,7.47,pre
-19.2,7.5,pre
-19.1,7.57,pre
-19.0,7.2,pre
-18.9,7.5,pre
-18.8,7.2,pre
-18.7,7.64,pre
-18.6,7.4,pre
-18.5,7.25,pre
-18.4,7.59,pre
-18.3,7.37,pre
-18.2,7.47,pre
-18.1,7.18,pre
-18.0,7.5,pre
-17.9,7.42,pre
-17.8,7.42,pre
-17.7,7.4,pre
-17.6,7.54,pre
-17.5,7.47,pre
-17.4,7.2,pre
-17.3,7.5,pre
-17.2,7.5,pre
-17.1,7.45,pre
-17.0,7.35,pre
-16.9,7.57,pre
-16.8,7.52,pre
-16.7,7.57,pre
-16.6,7.52,pre
-16.5,7.59,pre
-16.4,7.74,pre
-16.3,7.35,pre
-16.2,7.62,pre
-16.1,7.62,pre
-16.0,7.76,pre
-15.9,7.62,pre
-15.8,7.45,pre
-15.7,7.69,pre
-15.6,7.67,pre
-15.5,7.69,pre
-15.4,7.57,pre
-15.3,7.79,pre
-15.2,7.64,pre
-15.1,7.69,pre
-15.0,7.71,pre
-14.9,7.84,pre
-14.8,7.81,pre
-14.7,7.59,pre
-14.6,7.84,pre
-14.5,7.81,pre
-14.4,7.76,pre
-14.3,7.74,pre
-14.2,8.03,pre
-14.1,7.79,pre
-14.0,7.81,pre
-13.9,7.89,pre
-13.8,7.93,pre
-13.7,7.98,pre
-13.6,7.79,pre
-13.5,8.06,pre
-13.4,8.03,pre
-13.3,8.03,pre
-13.2,8.11,pre
-13.1,8.15,pre
-13.0,8.11,pre
-12.9,8.01,pre
-12.8,8.2,pre
-12.7,8.15,pre
-12.6,8.25,pre
-12.5,8.3,pre
-12.4,8.33,pre
-12.3,8.4,pre
-12.2,8.3,pre
-12.1,8.4,pre
-12.0,8.42,pre
-11.9,8.54,pre
-11.8,8.5,pre
-11.7,8.59,pre
-11.6,8.54,pre
-11.5,8.54,pre
-11.4,8.64,pre
-11.3,8.62,pre
-11.2,8.69,pre
-11.1,8.64,pre
-11.0,8.74,pre
-10.9,8.69,pre
-10.8,8.79,pre
-10.7,8.81,pre
-10.6,8.86,pre
-10.5,8.81,pre
-10.4,8.98,pre
-10.3,8.89,pre
-10.2,8.86,pre
-10.1,8.98,pre
-10.0,9.01,pre
-9.9,8.96,pre
-9.8,8.98,pre
-9.7,8.96,pre
-9.6,9.08,pre
-9.5,9.06,pre
-9.4,9.11,pre
-9.3,8.94,pre
-9.2,9.16,pre
-9.1,9.06,pre
-9.0,9.03,pre
-8.9,9.16,pre
-8.8,9.18,pre
-8.7,9.16,pre
-8.6,9.03,pre
-8.5,9.18,pre
-8.4,9.13,pre
-8.3,9.13,pre
-8.2,9.16,pre
-8.1,9.16,pre
-8.0,9.18,pre
-7.9,8.98,pre
-7.8,9.18,pre
-7.7,9.25,pre
-7.6,9.23,pre
-7.5,9.01,pre
-7.4,9.25,pre
-7.3,9.3,pre
-7.2,9.4,pre
-7.1,9.23,pre
-7.0,9.25,pre
-6.9,9.25,pre
-6.8,9.13,pre
-6.7,9.18,pre
-6.6,9.18,pre
-6.5,9.47,pre
-6.4,9.08,pre
-6.3,9.08,pre
-6.2,9.25,pre
-6.1,9.11,pre
-6.0,9.18,pre
-5.9,9.18,pre
-5.8,9.23,pre
-5.7,9.25,pre
-5.6,9.13,pre
-5.5,9.16,pre
-5.4,9.33,pre
-5.3,9.2,pre
-5.2,8.89,pre
-5.1,9.2,pre
-5.0,9.11,pre
-4.9,9.06,pre
-4.8,9.06,pre
-4.7,9.18,pre
-4.6,9.18,pre
-4.5,9.11,pre
-4.4,9.13,pre
-4.3,9.08,pre
-4.2,9.11,pre
-4.1,8.98,pre
-4.0,9.06,pre
-3.9,9.01,pre
-3.8,9.18,pre
-3.7,8.94,pre
-3.6,9.01,pre
-3.5,9.06,pre
-3.4,8.98,pre
-3.3,8.94,pre
-3.2,8.96,pre
-3.1,9.01,pre
-3.0,8.94,pre
-2.9,8.81,pre
-2.8,8.96,pre
-2.7,9.06,pre
-2.6,8.89,pre
-2.5,8.67,pre
-2.4,8.91,pre
-2.3,8.76,pre
-2.2,8.81,pre
-2.1,8.76,pre
-2.0,8.89,pre
-1.9,8.76,pre
-1.8,8.59,pre
-1.7,8.64,pre
-1.6,8.67,pre
-1.5,8.69,pre
-1.4,8.3,pre
-1.3,8.64,pre
-1.2,8.59,pre
-1.1,8.62,pre
-1.0,8.47,pre
-0.9,8.47,pre
-0.8,8.52,pre
-0.7,8.42,pre
-0.6,8.5,pre
-0.5,8.45,pre
-0.4,8.52,pre
-0.3,8.42,pre
-0.2,8.45,pre
-0.1,8.47,pre
0.0,8.37,stroking
0.1,8.4,stroking
0.2,8.28,stroking
0.3,8.35,stroking
0.4,8.28,stroking
0.5,8.25,stroking
0.6,8.35,stroking
0.7,8.33,stroking
0.8,8.25,stroking
0.9,8.15,stroking
1.0,8.23,stroking
1.1,8.2,stroking
1.2,8.18,stroking
1.3,8.18,stroking
1.4,8.13,stroking
1.5,8.18,stroking
1.6,8.18,stroking
1.7,8.11,stroking
1.8,8.15,stroking
1.9,8.13,stroking
2.0,8.08,stroking
2.1,8.13,stroking
2.2,8.11,stroking
2.3,7.98,stroking
2.4,7.98,stroking
2.5,7.93,stroking
2.6,8.11,stroking
2.7,7.86,stroking
2.8,8.08,stroking
2.9,7.96,stroking
3.0,8.03,stroking
3.1,7.98,stroking
3.2,7.98,stroking
3.3,7.98,stroking
3.4,7.91,stroking
3.5,7.93,stroking
3.6,7.84,stroking
3.7,7.91,stroking
3.8,7.81,stroking
3.9,7.96,stroking
4.0,7.91,stroking
4.1,7.84,stroking
4.2,7.89,stroking
4.3,7.84,stroking
4.4,7.86,stroking
4.5,7.81,stroking
4.6,7.79,stroking
4.7,7.81,stroking
4.8,7.81,stroking
4.9,7.71,stroking
5.0,7.84,stroking
5.1,7.76,stroking
5.2,7.71,stroking
5.3,7.76,stroking
5.4,7.74,stroking
5.5,7.81,stroking
5.6,7.71,stroking
5.7,7.71,stroking
5.8,7.69,stroking
5.9,7.71,stroking
6.0,7.74,stroking
6.1,7.67,stroking
6.2,7.71,stroking
6.3,7.69,stroking
6.4,7.69,stroking
6.5,7.69,stroking
6.6,7.57,stroking
6.7,7.64,stroking
6.8,7.69,stroking
