time_s,eda_uS,phase
-20.0,5.66,pre
-19.9,5.96,pre
-19.8,5.44,pre
-19.7,5.76,pre
-19.6,5.47,pre
-19.5,5.83,pre
-19.4,5.74,pre
-19.3,5.52,pre
-19.2,5.74,pre
-19.1,5.44,pre
-19.0,5.64,pre
-18.9,5.37,pre
-18.8,5.66,pre
-18.7,5.49,pre
-18.6,5.4,pre
-18.5,5.42,pre
-18.4,5.76,pre
-18.3,5.47,pre
-18.2,5.27,pre
-18.1,5.49,pre
-18.0,5.25,pre
-17.9,5.42,pre
-17.8,5.05,pre
-17.7,5.47,pre
-17.6,5.47,pre
-17.5,5.27,pre
-17.4,5.22,pre
-17.3,5.2,pre
-17.2,5.44,pre
-17.1,5.13,pre
-17.0,5.3,pre
-16.9,5.22,pre
-16.8,5.52,pre
-16.7,5.22,pre
-16.6,5.0,pre
-16.5,5.22,pre
-16.4,5.1,pre
-16.3,5.22,pre
-16.2,4.86,pre
-16.1,5.15,pre
-16.0,4.98,pre
-15.9,5.15,pre
-15.8,4.98,pre
-15.7,5.08,pre
-15.6,4.98,pre
-15.5,4.86,pre
-15.4,4.98,pre
-15.3,4.88,pre
-15.2,4.81,pre
-15.1,4.79,pre
-15.0,4.98,pre
-14.9,4.86,pre
-14.8,4.71,pre
-14.7,4.83,pre
-14.6,4.76,pre
-14.5,4.83,pre
-14.4,4.54,pre
-14.3,4.71,pre
-14.2,4.69,pre
-14.1,4.86,pre
-14.0,4.76,pre
-13.9,4.61,pre
-13.8,4.69,pre
-13.7,4.57,pre
-13.6,4.66,pre
-13.5,4.61,pre
-13.4,4.76,pre
-13.3,4.69,pre
-13.2,4.64,pre
-13.1,4.61,pre
-13.0,4.49,pre
-12.9,4.57,pre
-12.8,4.37,pre
-12.7,4.42,pre
-12.6,4.32,pre
-12.5,4.59,pre
-12.4,4.32,pre
-12.3,4.42,pre
-12.2,4.39,pre
-12.1,4.35,pre
-12.0,4.59,pre
-11.9,4.37,pre
-11.8,4.57,pre
-11.7,4.35,pre
-11.6,4.59,pre
-11.5,4.42,pre
-11.4,4.49,pre
-11.3,4.52,pre
-11.2,4.57,pre
-11.1,4.61,pre
-11.0,4.44,pre
-10.9,4.59,pre
-10.8,4.25,pre
-10.7,4.59,pre
-10.6,4.2,pre
-10.5,4.54,pre
-10.4,4.44,pre
-10.3,4.47,pre
-10.2,4.39,pre
-10.1,4.2,pre
-10.0,4.49,pre
-9.9,4.47,pre
-9.8,4.47,pre
-9.7,4.27,pre
-9.6,4.42,pre
-9.5,4.27,pre
-9.4,4.15,pre
-9.3,4.42,pre
-9.2,4.27,pre
-9.1,4.3,pre
-9.0,4.0,pre
-8.9,4.42,pre
-8.8,4.3,pre
-8.7,4.61,pre
-8.6,4.3,pre
-8.5,4.44,pre
-8.4,4.3,pre
-8.3,4.25,pre
-8.2,4.37,pre
-8.1,4.17,pre
-8.0,4.37,pre
-7.9,4.3,pre
-7.8,4.37,pre
-7.7,4.13,pre
-7.6,4.25,pre
-7.5,4.35,pre
-7.4,4.25,pre
-7.3,4.47,pre
-7.2,4.17,pre
-7.1,4.57,pre
-7.0,4.2,pre
-6.9,4.32,pre
-6.8,4.42,pre
-6.7,4.22,pre
-6.6,4.25,pre
-6.5,4.3,pre
-6.4,4.47,pre
-6.3,4.3,pre
-6.2,4.44,pre
-6.1,4.27,pre
-6.0,4.3,pre
-5.9,4.39,pre
-5.8,4.47,pre
-5.7,4.42,pre
-5.6,4.37,pre
-5.5,4.54,pre
-5.4,4.27,pre
-5.3,4.71,pre
-5.2,4.27,pre
-5.1,4.69,pre
-5.0,4.59,pre
-4.9,4.61,pre
-4.8,4.54,pre
-4.7,4.35,pre
-4.6,4.76,pre
-4.5,4.49,pre
-4.4,4.76,pre
-4.3,4.57,pre
-4.2,4.76,pre
-4.1,4.66,pre
-4.0,4.88,pre
-3.9,4.74,pre
-3.8,4.79,pre
-3.7,4.91,pre
-3.6,4.59,pre
-3.5,4.74,pre
-3.4,4.71,pre
-3.3,4.91,pre
-3.2,4.96,pre
-3.1,4.81,pre
-3.0,4.91,pre
-2.9,4.83,pre
-2.8,4.98,pre
-2.7,4.81,pre
-2.6,4.96,pre
-2.5,4.83,pre
-2.4,5.05,pre
-2.3,4.96,pre
-2.2,5.08,pre
-2.1,5.03,pre
-2.0,4.86,pre
-1.9,4.96,pre
-1.8,4.93,pre
-1.7,5.13,pre
-1.6,4.69,pre
-1.5,5.1,pre
-1.4,5.1,pre
-1.3,5.22,pre
-1.2,5.05,pre
-1.1,5.03,pre
-1.0,5.18,pre
-0.9,5.05,pre
-0.8,5.13,pre
-0.7,4.93,pre
-0.6,5.35,pre
-0.5,4.98,pre
-0.4,5.08,pre
-0.3,5.18,pre
-0.2,5.27,pre
-0.1,5.13,pre
0.0,4.91,stroking
0.1,5.18,stroking
0.2,5.2,stroking
0.3,5.27,stroking
0.4,5.15,stroking
0.5,5.27,stroking
0.6,5.15,stroking
0.7,4.98,stroking
0.8,5.27,stroking
0.9,5.13,stroking
1.0,5.27,stroking
1.1,5.1,stroking
1.2,5.2,stroking
1.3,5.25,stroking
1.4,5.47,stroking
1.5,4.93,stroking
1.6,5.25,stroking
