time_s,eda_uS,phase
-20.0,10.38,pre
-19.9,10.4,pre
-19.8,10.38,pre
-19.7,10.38,pre
-19.6,10.35,pre
-19.5,10.35,pre
-19.4,10.33,pre
-19.3,10.33,pre
-19.2,10.33,pre
-19.1,10.33,pre
-19.0,10.33,pre
-18.9,10.33,pre
-18.8,10.33,pre
-18.7,10.33,pre
-18.6,10.3,pre
-18.5,10.3,pre
-18.4,10.3,pre
-18.3,10.3,pre
-18.2,10.3,pre
-18.1,10.3,pre
-18.0,10.28,pre
-17.9,10.28,pre
-17.8,10.3,pre
-17.7,10.33,pre
-17.6,10.33,pre
-17.5,10.42,pre
-17.4,10.5,pre
-17.3,10.62,pre
-17.2,10.74,pre
-17.1,10.86,pre
-17.0,10.99,pre
-16.9,11.11,pre
-16.8,11.21,pre
-16.7,11.23,pre
-16.6,11.3,pre
-16.5,11.33,pre
-16.4,11.35,pre
-16.3,11.35,pre
-16.2,11.35,pre
-16.1,11.33,pre
-16.0,11.3,pre
-15.9,11.25,pre
-15.8,11.21,pre
-15.7,11.21,pre
-15.6,11.13,pre
-15.5,11.11,pre
-15.4,11.01,pre
-15.3,11.01,pre
-15.2,10.94,pre
-15.1,10.91,pre
-15.0,10.86,pre
-14.9,10.82,pre
-14.8,10.77,pre
-14.7,10.74,pre
-14.6,10.72,pre
-14.5,10.69,pre
-14.4,10.67,pre
-14.3,10.62,pre
-14.2,10.62,pre
-14.1,10.6,pre
-14.0,10.57,pre
-13.9,10.55,pre
-13.8,10.55,pre
-13.7,10.5,pre
-13.6,10.5,pre
-13.5,10.47,pre
-13.4,10.45,pre
-13.3,10.45,pre
-13.2,10.45,pre
-13.1,10.45,pre
-13.0,10.45,pre
-12.9,10.45,pre
-12.8,10.42,pre
-12.7,10.45,pre
-12.6,10.42,pre
-12.5,10.42,pre
-12.4,10.42,pre
-12.3,10.45,pre
-12.2,10.45,pre
-12.1,10.45,pre
-12.0,10.4,pre
-11.9,10.45,pre
-11.8,10.45,pre
-11.7,10.42,pre
-11.6,10.47,pre
-11.5,10.47,pre
-11.4,10.5,pre
-11.3,10.47,pre
-11.2,10.5,pre
-11.1,10.47,pre
-11.0,10.47,pre
-10.9,10.5,pre
-10.8,10.5,pre
-10.7,10.5,pre
-10.6,10.47,pre
-10.5,10.47,pre
-10.4,10.45,pre
-10.3,10.47,pre
-10.2,10.45,pre
-10.1,10.45,pre
-10.0,10.45,pre
-9.9,10.45,pre
-9.8,10.42,pre
-9.7,10.42,pre
-9.6,10.4,pre
-9.5,10.38,pre
-9.4,10.4,pre
-9.3,10.4,pre
-9.2,10.38,pre
-9.1,10.38,pre
-9.0,10.38,pre
-8.9,10.4,pre
-8.8,10.38,pre
-8.7,10.38,pre
-8.6,10.38,pre
-8.5,10.38,pre
-8.4,10.38,pre
-8.3,10.35,pre
-8.2,10.35,pre
-8.1,10.38,pre
-8.0,10.35,pre
-7.9,10.35,pre
-7.8,10.35,pre
-7.7,10.35,pre
-7.6,10.33,pre
-7.5,10.35,pre
-7.4,10.33,pre
-7.3,10.33,pre
-7.2,10.33,pre
-7.1,10.33,pre
-7.0,10.33,pre
-6.9,10.33,pre
-6.8,10.33,pre
-6.7,10.33,pre
-6.6,10.33,pre
-6.5,10.33,pre
-6.4,10.35,pre
-6.3,10.35,pre
-6.2,10.35,pre
-6.1,10.35,pre
-6.0,10.33,pre
-5.9,10.35,pre
-5.8,10.33,pre
-5.7,10.33,pre
-5.6,10.33,pre
-5.5,10.35,pre
-5.4,10.33,pre
-5.3,10.35,pre
-5.2,10.33,pre
-5.1,10.33,pre
-5.0,10.3,pre
-4.9,10.33,pre
-4.8,10.3,pre
-4.7,10.33,pre
-4.6,10.28,pre
-4.5,10.28,pre
-4.4,10.25,pre
-4.3,10.28,pre
-4.2,10.25,pre
-4.1,10.25,pre
-4.0,10.23,pre
-3.9,10.23,pre
-3.8,10.23,pre
-3.7,10.23,pre
-3.6,10.21,pre
-3.5,10.21,pre
-3.4,10.18,pre
-3.3,10.18,pre
-3.2,10.18,pre
-3.1,10.23,pre
-3.0,10.18,pre
-2.9,10.18,pre
-2.8,10.18,pre
-2.7,10.18,pre
-2.6,10.18,pre
-2.5,10.18,pre
-2.4,10.18,pre
-2.3,10.21,pre
-2.2,10.18,pre
-2.1,10.23,pre
-2.0,10.21,pre
-1.9,10.23,pre
-1.8,10.21,pre
-1.7,10.21,pre
-1.6,10.23,pre
-1.5,10.23,pre
-1.4,10.21,pre
-1.3,10.23,pre
-1.2,10.21,pre
