time_s,eda_uS,phase
-20.0,13.62,pre
-19.9,13.57,pre
-19.8,13.55,pre
-19.7,13.53,pre
-19.6,13.5,pre
-19.5,13.45,pre
-19.4,13.43,pre
-19.3,13.4,pre
-19.2,13.35,pre
-19.1,13.35,pre
-19.0,13.31,pre
-18.9,13.31,pre
-18.8,13.38,pre
-18.7,13.45,pre
-18.6,13.57,pre
-18.5,13.72,pre
-18.4,13.87,pre
-18.3,14.01,pre
-18.2,14.09,pre
-18.1,14.14,pre
-18.0,14.14,pre
-17.9,14.16,pre
-17.8,14.18,pre
-17.7,14.21,pre
-17.6,14.23,pre
-17.5,14.26,pre
-17.4,14.28,pre
-17.3,14.31,pre
-17.2,14.28,pre
-17.1,14.28,pre
-17.0,14.26,pre
-16.9,14.23,pre
-16.8,14.21,pre
-16.7,14.16,pre
-16.6,14.16,pre
-16.5,14.09,pre
-16.4,14.04,pre
-16.3,13.96,pre
-16.2,13.92,pre
-16.1,13.87,pre
-16.0,13.77,pre
-15.9,13.72,pre
-15.8,13.67,pre
-15.7,13.57,pre
-15.6,13.55,pre
-15.5,13.48,pre
-15.4,13.43,pre
-15.3,13.35,pre
-15.2,13.31,pre
-15.1,13.26,pre
-15.0,13.18,pre
-14.9,13.11,pre
-14.8,13.09,pre
-14.7,13.01,pre
-14.6,12.94,pre
-14.5,12.89,pre
-14.4,12.87,pre
-14.3,12.82,pre
-14.2,12.79,pre
-14.1,12.74,pre
-14.0,12.72,pre
-13.9,12.67,pre
-13.8,12.65,pre
-13.7,12.65,pre
-13.6,12.6,pre
-13.5,12.52,pre
-13.4,12.5,pre
-13.3,12.48,pre
-13.2,12.45,pre
-13.1,12.4,pre
-13.0,12.38,pre
-12.9,12.38,pre
-12.8,12.33,pre
-12.7,12.3,pre
-12.6,12.28,pre
-12.5,12.26,pre
-12.4,12.23,pre
-12.3,12.21,pre
-12.2,12.18,pre
-12.1,12.13,pre
-12.0,12.13,pre
-11.9,12.11,pre
-11.8,12.08,pre
-11.7,12.08,pre
-11.6,12.06,pre
-11.5,12.04,pre
-11.4,12.01,pre
-11.3,11.99,pre
-11.2,11.94,pre
-11.1,11.94,pre
-11.0,11.91,pre
-10.9,11.89,pre
-10.8,11.87,pre
-10.7,11.87,pre
-10.6,11.82,pre
-10.5,11.82,pre
-10.4,11.79,pre
-10.3,11.77,pre
-10.2,11.74,pre
-10.1,11.72,pre
-10.0,11.69,pre
-9.9,11.67,pre
-9.8,11.67,pre
-9.7,11.62,pre
-9.6,11.62,pre
-9.5,11.6,pre
-9.4,11.6,pre
-9.3,11.55,pre
-9.2,11.55,pre
-9.1,11.52,pre
-9.0,11.5,pre
-8.9,11.5,pre
-8.8,11.5,pre
-8.7,11.47,pre
-8.6,11.45,pre
-8.5,11.43,pre
-8.4,11.4,pre
-8.3,11.4,pre
-8.2,11.35,pre
-8.1,11.35,pre
-8.0,11.33,pre
-7.9,11.3,pre
-7.8,11.28,pre
-7.7,11.28,pre
-7.6,11.28,pre
-7.5,11.25,pre
-7.4,11.23,pre
-7.3,11.21,pre
-7.2,11.21,pre
-7.1,11.23,pre
-7.0,11.21,pre
-6.9,11.16,pre
-6.8,11.16,pre
-6.7,11.16,pre
-6.6,11.16,pre
-6.5,11.13,pre
-6.4,11.16,pre
-6.3,11.13,pre
-6.2,11.11,pre
-6.1,11.13,pre
-6.0,11.16,pre
-5.9,11.13,pre
-5.8,11.13,pre
-5.7,11.11,pre
-5.6,11.11,pre
-5.5,11.11,pre
-5.4,11.11,pre
-5.3,11.08,pre
-5.2,11.08,pre
-5.1,11.04,pre
-5.0,11.04,pre
-4.9,11.06,pre
-4.8,11.06,pre
-4.7,11.01,pre
-4.6,11.01,pre
-4.5,11.01,pre
-4.4,11.01,pre
-4.3,10.96,pre
-4.2,10.96,pre
-4.1,10.94,pre
-4.0,10.89,pre
-3.9,10.94,pre
-3.8,10.94,pre
-3.7,10.91,pre
-3.6,10.89,pre
-3.5,10.89,pre
-3.4,10.86,pre
-3.3,10.84,pre
-3.2,10.86,pre
-3.1,10.84,pre
-3.0,10.84,pre
-2.9,10.84,pre
-2.8,10.86,pre
-2.7,10.84,pre
-2.6,10.84,pre
-2.5,10.84,pre
-2.4,10.86,pre
-2.3,10.94,pre
-2.2,10.99,pre
-2.1,11.11,pre
-2.0,11.25,pre
-1.9,11.38,pre
-1.8,11.5,pre
-1.7,11.62,pre
-1.6,11.77,pre
-1.5,11.87,pre
-1.4,11.94,pre
-1.3,11.99,pre
-1.2,12.08,pre
-1.1,12.11,pre
-1.0,12.16,pre
-0.9,12.18,pre
-0.8,12.23,pre
-0.7,12.23,pre
-0.6,12.23,pre
-0.5,12.26,pre
-0.4,12.23,pre
-0.3,12.26,pre
-0.2,12.26,pre
-0.1,12.21,pre
0.0,12.21,stroking
0.1,12.18,stroking
0.2,12.16,stroking
0.3,12.11,stroking
0.4,12.08,stroking
0.5,12.06,stroking
0.6,12.04,stroking
0.7,12.01,stroking
0.8,11.99,stroking
0.9,11.94,stroking
1.0,11.89,stroking
1.1,11.84,stroking
1.2,11.79,stroking
1.3,11.77,stroking
1.4,11.72,stroking
1.5,11.69,stroking
1.6,11.65,stroking
1.7,11.6,stroking
1.8,11.57,stroking
1.9,11.52,stroking
2.0,11.5,stroking
2.1,11.45,stroking
2.2,11.43,stroking
2.3,11.4,stroking
2.4,11.38,stroking
2.5,11.33,stroking
2.6,11.3,stroking
2.7,11.3,stroking
2.8,11.28,stroking
2.9,11.25,stroking
3.0,11.25,stroking
3.1,11.23,stroking
3.2,11.21,stroking
3.3,11.18,stroking
3.4,11.16,stroking
3.5,11.13,stroking
3.6,11.11,stroking
3.7,11.11,stroking
3.8,11.11,stroking
3.9,11.08,stroking
4.0,11.04,stroking
4.1,11.01,stroking
4.2,11.01,stroking
4.3,10.99,stroking
4.4,10.96,stroking
4.5,10.96,stroking
4.6,10.96,stroking
4.7,10.96,stroking
4.8,10.94,stroking
4.9,10.91,stroking
5.0,10.91,stroking
5.1,10.89,stroking
5.2,10.86,stroking
5.3,10.84,stroking
5.4,10.86,stroking
5.5,10.84,stroking
5.6,10.82,stroking
5.7,10.82,stroking
5.8,10.77,stroking
5.9,10.77,stroking
6.0,10.77,stroking
6.1,10.74,stroking
6.2,10.74,stroking
6.3,10.72,stroking
6.4,10.69,stroking
6.5,10.69,stroking
6.6,10.64,stroking
6.7,10.64,stroking
6.8,10.64,stroking
6.9,10.62,stroking
7.0,10.6,stroking
7.1,10.57,stroking
7.2,10.57,stroking
7.3,10.55,stroking
7.4,10.52,stroking
7.5,10.52,stroking
7.6,10.5,stroking
7.7,10.5,stroking
7.8,10.47,stroking
7.9,10.47,stroking
8.0,10.45,stroking
8.1,10.42,stroking
8.2,10.42,stroking
8.3,10.42,stroking
8.4,10.42,stroking
8.5,10.38,stroking
8.6,10.38,stroking
8.7,10.33,stroking
8.8,10.33,stroking
8.9,10.33,stroking
9.0,10.35,stroking
9.1,10.33,stroking
9.2,10.3,stroking
9.3,10.33,stroking
9.4,10.3,stroking
9.5,10.3,stroking
9.6,10.28,stroking
9.7,10.28,stroking
9.8,10.23,stroking
9.9,10.23,stroking
10.0,10.23,stroking
10.1,10.21,stroking
10.2,10.23,stroking
10.3,10.23,stroking
10.4,10.28,stroking
10.5,10.3,stroking
10.6,10.33,stroking
10.7,10.38,stroking
10.8,10.42,stroking
10.9,10.45,stroking
11.0,10.47,stroking
11.1,10.52,stroking
11.2,10.55,stroking
11.3,10.6,stroking
11.4,10.62,stroking
11.5,10.64,stroking
11.6,10.67,stroking
11.7,10.67,stroking
11.8,10.69,stroking
11.9,10.69,stroking
12.0,10.69,stroking
12.1,10.67,stroking
12.2,10.69,stroking
12.3,10.69,stroking
12.4,10.69,stroking
12.5,10.74,stroking
12.6,10.82,stroking
12.7,10.89,stroking
12.8,11.04,stroking
12.9,11.23,stroking
13.0,11.33,stroking
13.1,11.47,stroking
13.2,11.62,stroking
13.3,11.74,stroking
13.4,11.89,stroking
13.5,12.01,stroking
13.6,12.13,stroking
13.7,12.28,stroking
13.8,12.38,stroking
13.9,12.48,stroking
14.0,12.57,stroking
14.1,12.67,stroking
14.2,12.74,stroking
14.3,12.82,stroking
14.4,12.89,stroking
14.5,12.96,stroking
14.6,12.99,stroking
14.7,13.04,stroking
14.8,13.09,stroking
14.9,13.11,stroking
15.0,13.13,stroking
15.1,13.16,stroking
15.2,13.18,stroking
15.3,13.16,stroking
15.4,13.16,stroking
15.5,13.16,stroking
15.6,13.16,stroking
15.7,13.16,stroking
15.8,13.11,stroking
15.9,13.11,stroking
16.0,13.09,stroking
16.1,13.04,stroking
16.2,12.99,stroking
16.3,12.96,stroking
16.4,12.94,stroking
16.5,12.92,stroking
16.6,12.89,stroking
16.7,12.87,stroking
16.8,12.82,stroking
16.9,12.79,stroking
17.0,12.77,stroking
17.1,12.72,stroking
17.2,12.7,stroking
17.3,12.7,stroking
17.4,12.67,stroking
17.5,12.62,stroking
17.6,12.57,stroking
17.7,12.57,stroking
17.8,12.55,stroking
17.9,12.52,stroking
18.0,12.5,stroking
18.1,12.5,stroking
18.2,12.48,stroking
18.3,12.48,stroking
18.4,12.4,stroking
18.5,12.4,stroking
18.6,12.4,stroking
18.7,12.38,stroking
18.8,12.38,stroking
18.9,12.33,stroking
19.0,12.33,stroking
19.1,12.3,stroking
19.2,12.26,stroking
19.3,12.26,stroking
19.4,12.23,stroking
19.5,12.23,stroking
19.6,12.18,stroking
19.7,12.18,stroking
19.8,12.16,stroking
19.9,12.13,stroking
20.0,12.13,stroking
20.1,12.11,stroking
20.2,12.11,stroking
20.3,12.11,stroking
20.4,12.06,stroking
20.5,12.04,stroking
20.6,12.04,stroking
20.7,12.01,stroking
20.8,12.01,stroking
20.9,11.99,stroking
21.0,11.94,stroking
21.1,11.94,stroking
21.2,11.91,stroking
21.3,11.89,stroking
21.4,11.89,stroking
21.5,11.87,stroking
21.6,11.87,stroking
21.7,11.84,stroking
21.8,11.84,stroking
21.9,11.79,stroking
22.0,11.79,stroking
22.1,11.79,stroking
22.2,11.77,stroking
22.3,11.74,stroking
22.4,11.74,stroking
22.5,11.72,stroking
22.6,11.69,stroking
22.7,11.69,stroking
22.8,11.69,stroking
22.9,11.67,stroking
23.0,11.67,stroking
23.1,11.65,stroking
23.2,11.62,stroking
23.3,11.62,stroking
23.4,11.6,stroking
23.5,11.6,stroking
23.6,11.57,stroking
23.7,11.55,stroking
23.8,11.55,stroking
23.9,11.55,stroking
24.0,11.52,stroking
24.1,11.5,stroking
24.2,11.5,stroking
24.3,11.47,stroking
24.4,11.47,stroking
24.5,11.45,stroking
24.6,11.43,stroking
24.7,11.43,stroking
24.8,11.4,stroking
24.9,11.38,stroking
25.0,11.38,stroking
25.1,11.35,stroking
25.2,11.35,stroking
25.3,11.33,stroking
25.4,11.33,stroking
25.5,11.3,stroking
25.6,11.28,stroking
25.7,11.28,stroking
25.8,11.25,stroking
25.9,11.23,stroking
26.0,11.23,stroking
26.1,11.21,stroking
26.2,11.21,stroking
26.3,11.18,stroking
26.4,11.16,stroking
26.5,11.16,stroking
26.6,11.13,stroking
26.7,11.11,stroking
26.8,11.11,stroking
26.9,11.11,stroking
27.0,11.08,stroking
27.1,11.06,stroking
27.2,11.04,stroking
27.3,11.01,stroking
27.4,11.01,stroking
27.5,10.99,stroking
27.6,10.96,stroking
27.7,10.96,stroking
27.8,10.94,stroking
27.9,10.94,stroking
28.0,10.91,stroking
28.1,10.86,stroking
28.2,10.84,stroking
28.3,10.86,stroking
28.4,10.86,stroking
28.5,10.84,stroking
28.6,10.84,stroking
28.7,10.82,stroking
28.8,10.79,stroking
28.9,10.77,stroking
29.0,10.77,stroking
29.1,10.74,stroking
29.2,10.74,stroking
29.3,10.74,stroking
29.4,10.72,stroking
29.5,10.69,stroking
29.6,10.69,stroking
29.7,10.64,stroking
29.8,10.67,stroking
29.9,10.64,stroking
30.0,10.62,stroking
30.1,10.62,stroking
30.2,10.6,stroking
30.3,10.57,stroking
30.4,10.57,stroking
30.5,10.55,stroking
30.6,10.55,stroking
30.7,10.52,stroking
30.8,10.5,stroking
30.9,10.5,stroking
31.0,10.5,stroking
31.1,10.47,stroking
31.2,10.45,stroking
31.3,10.45,stroking
31.4,10.45,stroking
31.5,10.45,stroking
31.6,10.42,stroking
31.7,10.4,stroking
31.8,10.4,stroking
31.9,10.4,stroking
32.0,10.38,stroking
32.1,10.35,stroking
