time_s,eda_uS,phase
-20.0,14.11,pre
-19.9,14.09,pre
-19.8,14.06,pre
-19.7,14.06,pre
-19.6,14.04,pre
-19.5,14.04,pre
-19.4,14.04,pre
-19.3,14.04,pre
-19.2,14.01,pre
-19.1,13.99,pre
-19.0,13.99,pre
-18.9,13.99,pre
-18.8,13.96,pre
-18.7,13.94,pre
-18.6,13.94,pre
-18.5,13.89,pre
-18.4,13.89,pre
-18.3,13.89,pre
-18.2,13.87,pre
-18.1,13.84,pre
-18.0,13.84,pre
-17.9,13.79,pre
-17.8,13.79,pre
-17.7,13.77,pre
-17.6,13.77,pre
-17.5,13.77,pre
-17.4,13.77,pre
-17.3,13.75,pre
-17.2,13.77,pre
-17.1,13.77,pre
-17.0,13.77,pre
-16.9,13.75,pre
-16.8,13.75,pre
-16.7,13.75,pre
-16.6,13.72,pre
-16.5,13.7,pre
-16.4,13.67,pre
-16.3,13.65,pre
-16.2,13.62,pre
-16.1,13.62,pre
-16.0,13.62,pre
-15.9,13.57,pre
-15.8,13.53,pre
-15.7,13.43,pre
-15.6,13.45,pre
-15.5,13.45,pre
-15.4,13.45,pre
-15.3,13.48,pre
-15.2,13.53,pre
-15.1,13.57,pre
-15.0,13.67,pre
-14.9,13.79,pre
-14.8,13.94,pre
-14.7,14.09,pre
-14.6,14.23,pre
-14.5,14.31,pre
-14.4,14.36,pre
-14.3,14.4,pre
-14.2,14.4,pre
-14.1,14.38,pre
-14.0,14.33,pre
-13.9,14.31,pre
-13.8,14.31,pre
-13.7,14.36,pre
-13.6,14.4,pre
-13.5,14.43,pre
-13.4,14.45,pre
-13.3,14.48,pre
-13.2,14.45,pre
-13.1,14.43,pre
-13.0,14.33,pre
-12.9,14.26,pre
-12.8,14.21,pre
-12.7,14.11,pre
-12.6,14.01,pre
-12.5,13.87,pre
-12.4,13.75,pre
-12.3,13.57,pre
-12.2,13.45,pre
-12.1,13.33,pre
-12.0,13.23,pre
-11.9,13.11,pre
-11.8,13.04,pre
-11.7,12.96,pre
-11.6,12.89,pre
-11.5,12.87,pre
-11.4,12.84,pre
-11.3,12.82,pre
-11.2,12.79,pre
-11.1,12.79,pre
-11.0,12.82,pre
-10.9,12.87,pre
-10.8,12.92,pre
-10.7,12.99,pre
