time_s,eda_uS,phase
-20.0,8.67,pre
-19.9,8.62,pre
-19.8,8.62,pre
-19.7,8.59,pre
-19.6,8.57,pre
-19.5,8.54,pre
-19.4,8.52,pre
-19.3,8.5,pre
-19.2,8.5,pre
-19.1,8.47,pre
-19.0,8.47,pre
-18.9,8.45,pre
-18.8,8.47,pre
-18.7,8.45,pre
-18.6,8.42,pre
-18.5,8.42,pre
-18.4,8.4,pre
-18.3,8.42,pre
-18.2,8.42,pre
-18.1,8.4,pre
-18.0,8.35,pre
-17.9,8.35,pre
-17.8,8.37,pre
-17.7,8.35,pre
-17.6,8.33,pre
-17.5,8.3,pre
-17.4,8.3,pre
-17.3,8.28,pre
-17.2,8.28,pre
-17.1,8.28,pre
-17.0,8.28,pre
-16.9,8.25,pre
-16.8,8.23,pre
-16.7,8.23,pre
-16.6,8.23,pre
-16.5,8.2,pre
-16.4,8.2,pre
-16.3,8.23,pre
-16.2,8.25,pre
-16.1,8.28,pre
-16.0,8.35,pre
-15.9,8.4,pre
-15.8,8.45,pre
-15.7,8.47,pre
-15.6,8.52,pre
-15.5,8.54,pre
-15.4,8.54,pre
-15.3,8.54,pre
-15.2,8.54,pre
-15.1,8.52,pre
-15.0,8.5,pre
-14.9,8.5,pre
-14.8,8.47,pre
-14.7,8.45,pre
-14.6,8.42,pre
-14.5,8.4,pre
-14.4,8.37,pre
-14.3,8.35,pre
-14.2,8.33,pre
-14.1,8.3,pre
-14.0,8.28,pre
-13.9,8.25,pre
-13.8,8.23,pre
-13.7,8.23,pre
-13.6,8.2,pre
-13.5,8.18,pre
-13.4,8.2,pre
-13.3,8.18,pre
-13.2,8.18,pre
-13.1,8.15,pre
-13.0,8.13,pre
-12.9,8.13,pre
-12.8,8.13,pre
-12.7,8.11,pre
-12.6,8.11,pre
-12.5,8.11,pre
-12.4,8.08,pre
-12.3,8.06,pre
-12.2,8.06,pre
-12.1,8.03,pre
-12.0,8.03,pre
-11.9,8.03,pre
-11.8,7.98,pre
-11.7,7.98,pre
-11.6,7.98,pre
-11.5,7.98,pre
-11.4,7.96,pre
-11.3,7.98,pre
-11.2,7.98,pre
-11.1,8.01,pre
-11.0,8.06,pre
-10.9,8.08,pre
-10.8,8.08,pre
-10.7,8.11,pre
-10.6,8.11,pre
-10.5,8.11,pre
-10.4,8.11,pre
-10.3,8.11,pre
-10.2,8.11,pre
-10.1,8.08,pre
-10.0,8.08,pre
-9.9,8.06,pre
-9.8,8.01,pre
-9.7,8.01,pre
-9.6,8.01,pre
-9.5,7.98,pre
-9.4,7.98,pre
-9.3,7.93,pre
-9.2,7.91,pre
-9.1,7.89,pre
-9.0,7.89,pre
-8.9,7.84,pre
-8.8,7.84,pre
-8.7,7.84,pre
-8.6,7.81,pre
-8.5,7.79,pre
-8.4,7.81,pre
-8.3,7.79,pre
-8.2,7.76,pre
-8.1,7.76,pre
-8.0,7.74,pre
-7.9,7.74,pre
-7.8,7.71,pre
-7.7,7.71,pre
-7.6,7.71,pre
-7.5,7.69,pre
-7.4,7.69,pre
-7.3,7.69,pre
-7.2,7.69,pre
-7.1,7.69,pre
-7.0,7.69,pre
-6.9,7.67,pre
-6.8,7.67,pre
-6.7,7.64,pre
-6.6,7.64,pre
-6.5,7.67,pre
-6.4,7.64,pre
-6.3,7.64,pre
-6.2,7.64,pre
-6.1,7.62,pre
-6.0,7.62,pre
-5.9,7.62,pre
-5.8,7.62,pre
-5.7,7.62,pre
-5.6,7.62,pre
-5.5,7.62,pre
-5.4,7.62,pre
