time_s,eda_uS,phase
-20.0,8.4,pre
-19.9,8.13,pre
-19.8,8.47,pre
-19.7,8.28,pre
-19.6,8.35,pre
-19.5,8.37,pre
-19.4,8.4,pre
-19.3,8.4,pre
-19.2,8.08,pre
-19.1,8.37,pre
-19.0,8.28,pre
-18.9,8.33,pre
-18.8,8.25,pre
-18.7,8.25,pre
-18.6,8.25,pre
-18.5,8.25,pre
-18.4,8.2,pre
-18.3,8.08,pre
-18.2,8.23,pre
-18.1,8.03,pre
-18.0,8.18,pre
-17.9,7.93,pre
-17.8,8.5,pre
-17.7,8.01,pre
-17.6,8.11,pre
-17.5,8.11,pre
-17.4,8.11,pre
-17.3,8.11,pre
-17.2,7.71,pre
-17.1,8.15,pre
-17.0,8.01,pre
-16.9,7.98,pre
-16.8,8.01,pre
-16.7,8.01,pre
-16.6,8.08,pre
-16.5,7.98,pre
-16.4,8.06,pre
-16.3,7.89,pre
-16.2,8.18,pre
-16.1,7.96,pre
-16.0,7.89,pre
-15.9,7.96,pre
-15.8,8.01,pre
-15.7,7.93,pre
-15.6,7.89,pre
-15.5,7.98,pre
-15.4,7.79,pre
-15.3,7.84,pre
-15.2,7.69,pre
-15.1,7.81,pre
-15.0,7.69,pre
-14.9,7.71,pre
-14.8,7.74,pre
-14.7,7.57,pre
-14.6,7.59,pre
-14.5,7.4,pre
-14.4,7.71,pre
-14.3,7.47,pre
-14.2,7.52,pre
-14.1,7.52,pre
-14.0,7.69,pre
-13.9,7.5,pre
-13.8,7.13,pre
-13.7,7.45,pre
-13.6,7.35,pre
-13.5,7.3,pre
-13.4,7.13,pre
-13.3,7.45,pre
-13.2,7.35,pre
-13.1,7.18,pre
-13.0,7.18,pre
-12.9,7.25,pre
-12.8,7.2,pre
-12.7,6.86,pre
-12.6,7.01,pre
-12.5,6.93,pre
-12.4,7.08,pre
-12.3,6.79,pre
-12.2,6.86,pre
-12.1,7.01,pre
-12.0,6.88,pre
-11.9,6.93,pre
-11.8,6.59,pre
-11.7,6.93,pre
-11.6,6.67,pre
-11.5,6.74,pre
-11.4,6.67,pre
-11.3,6.76,pre
-11.2,6.71,pre
-11.1,6.57,pre
-11.0,6.62,pre
-10.9,6.54,pre
-10.8,6.57,pre
-10.7,6.42,pre
-10.6,6.54,pre
-10.5,6.52,pre
-10.4,6.3,pre
-10.3,6.42,pre
-10.2,6.32,pre
-10.1,6.32,pre
-10.0,6.23,pre
-9.9,6.25,pre
-9.8,6.15,pre
-9.7,6.2,pre
-9.6,6.08,pre
-9.5,6.13,pre
-9.4,6.13,pre
-9.3,5.91,pre
-9.2,6.03,pre
-9.1,5.88,pre
-9.0,6.01,pre
