time_s,eda_uS,phase
-20.0,11.91,pre
-19.9,11.91,pre
-19.8,11.91,pre
-19.7,11.89,pre
-19.6,11.91,pre
-19.5,11.91,pre
-19.4,11.96,pre
-19.3,11.94,pre
-19.2,11.96,pre
-19.1,11.94,pre
-19.0,11.99,pre
-18.9,11.96,pre
-18.8,12.01,pre
-18.7,11.96,pre
-18.6,12.01,pre
-18.5,11.99,pre
-18.4,11.99,pre
-18.3,11.99,pre
-18.2,12.01,pre
-18.1,11.96,pre
-18.0,12.01,pre
-17.9,12.01,pre
-17.8,12.01,pre
-17.7,12.01,pre
-17.6,12.04,pre
-17.5,12.01,pre
-17.4,12.04,pre
-17.3,12.04,pre
-17.2,12.06,pre
-17.1,12.06,pre
-17.0,12.08,pre
-16.9,12.06,pre
-16.8,12.08,pre
-16.7,12.08,pre
-16.6,12.08,pre
-16.5,12.06,pre
-16.4,12.08,pre
-16.3,12.06,pre
-16.2,12.08,pre
-16.1,12.06,pre
-16.0,12.08,pre
-15.9,12.06,pre
-15.8,12.08,pre
-15.7,12.06,pre
-15.6,12.08,pre
-15.5,12.06,pre
-15.4,12.06,pre
-15.3,12.04,pre
-15.2,12.06,pre
-15.1,12.04,pre
-15.0,12.06,pre
-14.9,12.04,pre
-14.8,12.06,pre
-14.7,12.01,pre
-14.6,12.06,pre
-14.5,12.04,pre
-14.4,12.06,pre
-14.3,12.04,pre
-14.2,12.06,pre
-14.1,12.04,pre
-14.0,12.06,pre
-13.9,12.06,pre
-13.8,12.06,pre
-13.7,12.01,pre
-13.6,12.04,pre
-13.5,12.04,pre
-13.4,12.11,pre
-13.3,12.18,pre
-13.2,12.18,pre
-13.1,12.11,pre
-13.0,12.16,pre
-12.9,12.13,pre
-12.8,12.18,pre
-12.7,12.23,pre
-12.6,12.26,pre
-12.5,12.06,pre
-12.4,11.99,pre
-12.3,11.89,pre
-12.2,11.96,pre
-12.1,11.96,pre
-12.0,11.99,pre
-11.9,11.99,pre
-11.8,12.04,pre
-11.7,12.04,pre
-11.6,12.01,pre
-11.5,11.99,pre
-11.4,12.01,pre
-11.3,11.99,pre
-11.2,12.01,pre
-11.1,12.01,pre
-11.0,12.01,pre
-10.9,11.99,pre
-10.8,12.01,pre
-10.7,11.99,pre
-10.6,12.01,pre
-10.5,11.99,pre
-10.4,11.99,pre
-10.3,11.96,pre
-10.2,12.01,pre
-10.1,11.99,pre
-10.0,11.99,pre
-9.9,11.96,pre
-9.8,11.99,pre
-9.7,11.99,pre
-9.6,11.99,pre
-9.5,11.96,pre
-9.4,12.01,pre
-9.3,11.99,pre
-9.2,12.01,pre
-9.1,11.96,pre
-9.0,12.01,pre
-8.9,11.96,pre
-8.8,12.01,pre
-8.7,11.96,pre
-8.6,11.99,pre
-8.5,11.96,pre
-8.4,11.99,pre
-8.3,11.96,pre
-8.2,11.99,pre
-8.1,11.96,pre
-8.0,11.99,pre
-7.9,11.96,pre
-7.8,11.99,pre
-7.7,11.94,pre
-7.6,11.99,pre
-7.5,11.94,pre
-7.4,11.96,pre
-7.3,11.96,pre
-7.2,11.96,pre
-7.1,11.94,pre
-7.0,11.94,pre
-6.9,11.91,pre
-6.8,11.94,pre
-6.7,11.94,pre
-6.6,11.96,pre
-6.5,11.94,pre
-6.4,11.94,pre
-6.3,11.91,pre
-6.2,11.94,pre
-6.1,11.94,pre
-6.0,11.94,pre
-5.9,11.91,pre
-5.8,11.94,pre
-5.7,11.91,pre
-5.6,11.94,pre
-5.5,11.89,pre
-5.4,11.94,pre
-5.3,11.91,pre
-5.2,11.94,pre
-5.1,11.89,pre
-5.0,11.94,pre
-4.9,11.91,pre
-4.8,11.94,pre
-4.7,11.89,pre
-4.6,11.94,pre
-4.5,11.91,pre
-4.4,11.91,pre
-4.3,11.89,pre
-4.2,11.91,pre
-4.1,11.89,pre
-4.0,11.89,pre
-3.9,11.89,pre
-3.8,11.89,pre
-3.7,11.87,pre
-3.6,11.91,pre
-3.5,11.87,pre
-3.4,11.89,pre
-3.3,11.87,pre
-3.2,11.89,pre
-3.1,11.87,pre
-3.0,11.87,pre
-2.9,11.84,pre
-2.8,11.87,pre
-2.7,11.87,pre
-2.6,11.89,pre
-2.5,11.84,pre
-2.4,11.87,pre
-2.3,11.84,pre
-2.2,11.87,pre
-2.1,11.84,pre
-2.0,11.87,pre
-1.9,11.84,pre
-1.8,11.84,pre
-1.7,11.82,pre
-1.6,11.87,pre
-1.5,11.82,pre
-1.4,11.84,pre
-1.3,11.79,pre
-1.2,11.82,pre
-1.1,11.82,pre
-1.0,11.82,pre
-0.9,11.79,pre
-0.8,11.82,pre
-0.7,11.77,pre
-0.6,11.79,pre
-0.5,11.79,pre
-0.4,11.82,pre
-0.3,11.77,pre
-0.2,11.79,pre
-0.1,11.77,pre
0.0,11.79,stroking
0.1,11.77,stroking
0.2,11.79,stroking
0.3,11.77,stroking
0.4,11.74,stroking
0.5,11.74,stroking
0.6,11.74,stroking
0.7,11.74,stroking
0.8,11.77,stroking
0.9,11.72,stroking
1.0,11.74,stroking
1.1,11.72,stroking
1.2,11.74,stroking
1.3,11.69,stroking
1.4,11.74,stroking
1.5,11.72,stroking
1.6,11.72,stroking
1.7,11.72,stroking
1.8,11.72,stroking
1.9,11.69,stroking
2.0,11.72,stroking
2.1,11.69,stroking
2.2,11.69,stroking
2.3,11.69,stroking
2.4,11.72,stroking
2.5,11.69,stroking
2.6,11.72,stroking
2.7,11.69,stroking
2.8,11.72,stroking
2.9,11.72,stroking
3.0,11.74,stroking
3.1,11.74,stroking
3.2,11.77,stroking
3.3,11.74,stroking
3.4,11.79,stroking
3.5,11.77,stroking
3.6,11.79,stroking
3.7,11.74,stroking
3.8,11.79,stroking
3.9,11.79,stroking
4.0,11.79,stroking
4.1,11.79,stroking
4.2,11.82,stroking
4.3,11.79,stroking
4.4,11.79,stroking
4.5,11.77,stroking
4.6,11.77,stroking
4.7,11.77,stroking
4.8,11.79,stroking
4.9,11.74,stroking
5.0,11.77,stroking
5.1,11.74,stroking
5.2,11.77,stroking
5.3,11.72,stroking
5.4,11.74,stroking
5.5,11.72,stroking
