time_s,eda_uS,phase
-20.0,8.76,pre
-19.9,8.76,pre
-19.8,8.74,pre
-19.7,8.72,pre
-19.6,8.74,pre
-19.5,8.69,pre
-19.4,8.72,pre
-19.3,8.69,pre
-19.2,8.74,pre
-19.1,8.69,pre
-19.0,8.69,pre
-18.9,8.69,pre
-18.8,8.69,pre
-18.7,8.69,pre
-18.6,8.67,pre
-18.5,8.67,pre
-18.4,8.64,pre
-18.3,8.64,pre
-18.2,8.67,pre
-18.1,8.67,pre
-18.0,8.64,pre
-17.9,8.64,pre
-17.8,8.59,pre
-17.7,8.62,pre
-17.6,8.62,pre
-17.5,8.62,pre
-17.4,8.67,pre
-17.3,8.62,pre
-17.2,8.64,pre
-17.1,8.59,pre
-17.0,8.67,pre
-16.9,8.69,pre
-16.8,8.69,pre
-16.7,8.72,pre
-16.6,8.67,pre
-16.5,8.62,pre
-16.4,8.59,pre
-16.3,8.57,pre
-16.2,8.54,pre
-16.1,8.5,pre
-16.0,8.5,pre
-15.9,8.45,pre
-15.8,8.4,pre
-15.7,8.4,pre
-15.6,8.4,pre
-15.5,8.42,pre
-15.4,8.45,pre
-15.3,8.47,pre
-15.2,8.5,pre
-15.1,8.59,pre
-15.0,8.57,pre
-14.9,8.64,pre
-14.8,8.62,pre
-14.7,8.62,pre
-14.6,8.62,pre
-14.5,8.62,pre
-14.4,8.64,pre
-14.3,8.59,pre
-14.2,8.54,pre
-14.1,8.52,pre
-14.0,8.57,pre
-13.9,8.52,pre
-13.8,8.5,pre
-13.7,8.5,pre
-13.6,8.47,pre
-13.5,8.47,pre
-13.4,8.4,pre
-13.3,8.37,pre
-13.2,8.4,pre
-13.1,8.42,pre
-13.0,8.47,pre
-12.9,8.47,pre
-12.8,8.47,pre
-12.7,8.45,pre
-12.6,8.42,pre
-12.5,8.45,pre
-12.4,8.42,pre
-12.3,8.4,pre
-12.2,8.42,pre
-12.1,8.42,pre
-12.0,8.37,pre
-11.9,8.37,pre
-11.8,8.4,pre
-11.7,8.4,pre
-11.6,8.4,pre
-11.5,8.4,pre
-11.4,8.37,pre
-11.3,8.35,pre
-11.2,8.37,pre
-11.1,8.33,pre
-11.0,8.35,pre
-10.9,8.37,pre
-10.8,8.33,pre
-10.7,8.42,pre
-10.6,8.35,pre
-10.5,8.33,pre
-10.4,8.35,pre
-10.3,8.3,pre
-10.2,8.35,pre
-10.1,8.3,pre
-10.0,8.33,pre
-9.9,8.3,pre
-9.8,8.3,pre
-9.7,8.3,pre
-9.6,8.3,pre
-9.5,8.3,pre
-9.4,8.28,pre
-9.3,8.28,pre
-9.2,8.3,pre
-9.1,8.28,pre
-9.0,8.28,pre
-8.9,8.25,pre
-8.8,8.28,pre
-8.7,8.25,pre
-8.6,8.25,pre
-8.5,8.28,pre
-8.4,8.25,pre
-8.3,8.25,pre
-8.2,8.25,pre
-8.1,8.23,pre
-8.0,8.18,pre
-7.9,8.25,pre
-7.8,8.28,pre
-7.7,8.25,pre
-7.6,8.28,pre
-7.5,8.25,pre
-7.4,8.2,pre
-7.3,8.28,pre
-7.2,8.23,pre
-7.1,8.25,pre
-7.0,8.25,pre
-6.9,8.23,pre
-6.8,8.23,pre
-6.7,8.23,pre
-6.6,8.23,pre
-6.5,8.23,pre
-6.4,8.2,pre
-6.3,8.23,pre
-6.2,8.18,pre
-6.1,8.25,pre
-6.0,8.18,pre
-5.9,8.13,pre
-5.8,8.18,pre
