time_s,eda_uS,phase
-20.0,6.93,pre
-19.9,6.93,pre
-19.8,6.91,pre
-19.7,6.91,pre
-19.6,6.88,pre
-19.5,6.88,pre
-19.4,6.88,pre
-19.3,6.88,pre
-19.2,6.86,pre
-19.1,6.86,pre
-19.0,6.86,pre
-18.9,6.84,pre
-18.8,6.84,pre
-18.7,6.84,pre
-18.6,6.84,pre
-18.5,6.84,pre
-18.4,6.84,pre
-18.3,6.84,pre
-18.2,6.84,pre
-18.1,6.81,pre
-18.0,6.81,pre
-17.9,6.81,pre
-17.8,6.81,pre
-17.7,6.79,pre
-17.6,6.81,pre
-17.5,6.81,pre
-17.4,6.81,pre
-17.3,6.81,pre
-17.2,6.81,pre
-17.1,6.81,pre
-17.0,6.81,pre
-16.9,6.81,pre
-16.8,6.81,pre
-16.7,6.81,pre
-16.6,6.79,pre
-16.5,6.81,pre
-16.4,6.79,pre
-16.3,6.79,pre
-16.2,6.76,pre
-16.1,6.71,pre
-16.0,6.76,pre
-15.9,6.74,pre
-15.8,6.59,pre
-15.7,6.69,pre
-15.6,6.71,pre
-15.5,6.71,pre
-15.4,6.71,pre
-15.3,6.71,pre
-15.2,6.71,pre
-15.1,6.71,pre
-15.0,6.76,pre
-14.9,6.76,pre
-14.8,6.76,pre
-14.7,6.76,pre
-14.6,6.74,pre
-14.5,6.74,pre
-14.4,6.71,pre
-14.3,6.71,pre
-14.2,6.71,pre
-14.1,6.71,pre
-14.0,6.74,pre
-13.9,6.69,pre
-13.8,6.71,pre
-13.7,6.71,pre
-13.6,6.71,pre
-13.5,6.74,pre
-13.4,6.81,pre
-13.3,6.84,pre
-13.2,6.84,pre
-13.1,6.91,pre
-13.0,7.03,pre
-12.9,7.08,pre
-12.8,7.13,pre
-12.7,7.18,pre
-12.6,7.2,pre
-12.5,7.23,pre
-12.4,7.2,pre
-12.3,7.2,pre
-12.2,7.18,pre
-12.1,7.13,pre
-12.0,7.06,pre
-11.9,7.01,pre
-11.8,6.91,pre
-11.7,6.84,pre
-11.6,6.76,pre
-11.5,6.71,pre
-11.4,6.64,pre
-11.3,6.54,pre
-11.2,6.49,pre
-11.1,6.42,pre
-11.0,6.4,pre
-10.9,6.35,pre
-10.8,6.3,pre
-10.7,6.23,pre
-10.6,6.2,pre
-10.5,6.15,pre
-10.4,6.15,pre
-10.3,6.08,pre
-10.2,6.05,pre
-10.1,6.05,pre
-10.0,6.03,pre
-9.9,5.98,pre
-9.8,5.96,pre
-9.7,5.98,pre
-9.6,5.96,pre
-9.5,5.91,pre
-9.4,5.91,pre
-9.3,5.91,pre
-9.2,5.91,pre
-9.1,5.88,pre
-9.0,5.88,pre
-8.9,5.86,pre
-8.8,5.86,pre
-8.7,5.86,pre
-8.6,5.83,pre
-8.5,5.83,pre
-8.4,5.86,pre
-8.3,5.81,pre
-8.2,5.83,pre
-8.1,5.81,pre
-8.0,5.79,pre
-7.9,5.81,pre
-7.8,5.79,pre
-7.7,5.79,pre
-7.6,5.79,pre
-7.5,5.79,pre
-7.4,5.79,pre
-7.3,5.76,pre
-7.2,5.79,pre
-7.1,5.76,pre
-7.0,5.79,pre
-6.9,5.79,pre
-6.8,5.76,pre
-6.7,5.76,pre
-6.6,5.76,pre
-6.5,5.79,pre
-6.4,5.79,pre
-6.3,5.76,pre
-6.2,5.79,pre
-6.1,5.76,pre
-6.0,5.79,pre
-5.9,5.81,pre
-5.8,5.81,pre
-5.7,5.81,pre
-5.6,5.81,pre
-5.5,5.81,pre
-5.4,5.83,pre
-5.3,5.86,pre
-5.2,5.83,pre
-5.1,5.86,pre
-5.0,5.83,pre
-4.9,5.83,pre
-4.8,5.83,pre
-4.7,5.83,pre
-4.6,5.83,pre
-4.5,5.83,pre
-4.4,5.83,pre
-4.3,5.83,pre
-4.2,5.83,pre
-4.1,5.86,pre
-4.0,5.83,pre
-3.9,5.83,pre
-3.8,5.81,pre
-3.7,5.83,pre
-3.6,5.81,pre
-3.5,5.83,pre
-3.4,5.83,pre
-3.3,5.83,pre
-3.2,5.83,pre
