time_s,eda_uS,phase
-20.0,17.92,pre
-19.9,17.9,pre
-19.8,17.87,pre
-19.7,17.85,pre
-19.6,17.8,pre
-19.5,17.77,pre
-19.4,17.75,pre
-19.3,17.77,pre
-19.2,17.72,pre
-19.1,17.7,pre
-19.0,17.68,pre
-18.9,17.65,pre
-18.8,17.65,pre
-18.7,17.6,pre
-18.6,17.6,pre
-18.5,17.65,pre
-18.4,17.68,pre
-18.3,17.68,pre
-18.2,17.65,pre
-18.1,17.63,pre
-18.0,17.58,pre
-17.9,17.38,pre
-17.8,16.89,pre
-17.7,17.36,pre
-17.6,17.26,pre
-17.5,16.97,pre
-17.4,16.63,pre
-17.3,16.89,pre
-17.2,16.7,pre
-17.1,16.55,pre
-17.0,16.94,pre
-16.9,16.89,pre
-16.8,16.87,pre
-16.7,16.75,pre
-16.6,16.72,pre
-16.5,16.75,pre
-16.4,16.75,pre
-16.3,16.75,pre
-16.2,16.7,pre
-16.1,16.65,pre
-16.0,16.58,pre
-15.9,16.58,pre
-15.8,16.55,pre
-15.7,16.55,pre
-15.6,16.5,pre
-15.5,16.5,pre
-15.4,16.5,pre
-15.3,16.5,pre
-15.2,16.5,pre
-15.1,16.46,pre
-15.0,16.46,pre
-14.9,16.43,pre
-14.8,16.43,pre
-14.7,16.41,pre
-14.6,16.38,pre
-14.5,16.36,pre
-14.4,16.38,pre
-14.3,16.38,pre
-14.2,16.36,pre
-14.1,16.38,pre
-14.0,16.38,pre
-13.9,16.36,pre
-13.8,16.36,pre
-13.7,16.36,pre
-13.6,16.36,pre
-13.5,16.31,pre
-13.4,16.31,pre
-13.3,16.31,pre
-13.2,16.31,pre
-13.1,16.28,pre
-13.0,16.28,pre
-12.9,16.26,pre
-12.8,16.28,pre
-12.7,16.26,pre
-12.6,16.26,pre
-12.5,16.26,pre
-12.4,16.26,pre
-12.3,16.24,pre
-12.2,16.24,pre
-12.1,16.26,pre
-12.0,16.24,pre
-11.9,16.24,pre
-11.8,16.24,pre
-11.7,16.21,pre
-11.6,16.21,pre
-11.5,16.21,pre
-11.4,16.21,pre
-11.3,16.19,pre
-11.2,16.16,pre
-11.1,16.16,pre
-11.0,16.16,pre
-10.9,16.14,pre
-10.8,16.14,pre
-10.7,16.14,pre
-10.6,16.11,pre
-10.5,16.11,pre
-10.4,16.09,pre
-10.3,16.09,pre
-10.2,16.09,pre
-10.1,16.06,pre
-10.0,16.06,pre
-9.9,16.06,pre
-9.8,16.06,pre
-9.7,16.06,pre
-9.6,16.06,pre
-9.5,16.04,pre
-9.4,16.04,pre
-9.3,16.02,pre
-9.2,16.02,pre
-9.1,16.02,pre
-9.0,16.02,pre
-8.9,16.02,pre
-8.8,15.99,pre
-8.7,15.99,pre
-8.6,15.99,pre
-8.5,15.97,pre
-8.4,15.99,pre
-8.3,15.99,pre
-8.2,15.97,pre
-8.1,15.97,pre
-8.0,15.97,pre
-7.9,15.97,pre
-7.8,15.97,pre
-7.7,15.97,pre
-7.6,15.97,pre
-7.5,15.97,pre
-7.4,15.94,pre
-7.3,15.94,pre
-7.2,15.94,pre
-7.1,15.94,pre
-7.0,15.92,pre
-6.9,15.89,pre
-6.8,15.92,pre
-6.7,15.92,pre
-6.6,15.89,pre
-6.5,15.89,pre
-6.4,15.89,pre
-6.3,15.87,pre
-6.2,15.87,pre
-6.1,15.87,pre
-6.0,15.84,pre
-5.9,15.84,pre
-5.8,15.84,pre
-5.7,15.84,pre
-5.6,15.82,pre
-5.5,15.8,pre
-5.4,15.8,pre
-5.3,15.8,pre
-5.2,15.8,pre
-5.1,15.8,pre
-5.0,15.8,pre
-4.9,15.8,pre
-4.8,15.8,pre
-4.7,15.8,pre
-4.6,15.8,pre
-4.5,15.8,pre
-4.4,15.77,pre
-4.3,15.8,pre
-4.2,15.77,pre
-4.1,15.77,pre
-4.0,15.75,pre
-3.9,15.72,pre
-3.8,15.75,pre
-3.7,15.72,pre
-3.6,15.72,pre
-3.5,15.72,pre
-3.4,15.72,pre
-3.3,15.67,pre
-3.2,15.7,pre
-3.1,15.7,pre
-3.0,15.7,pre
-2.9,15.67,pre
-2.8,15.67,pre
-2.7,15.67,pre
-2.6,15.67,pre
-2.5,15.65,pre
-2.4,15.65,pre
-2.3,15.65,pre
-2.2,15.62,pre
-2.1,15.65,pre
-2.0,15.62,pre
-1.9,15.62,pre
-1.8,15.62,pre
-1.7,15.6,pre
-1.6,15.6,pre
-1.5,15.6,pre
-1.4,15.6,pre
-1.3,15.6,pre
-1.2,15.58,pre
-1.1,15.58,pre
-1.0,15.58,pre
-0.9,15.58,pre
-0.8,15.58,pre
-0.7,15.58,pre
-0.6,15.55,pre
-0.5,15.58,pre
-0.4,15.55,pre
-0.3,15.58,pre
-0.2,15.55,pre
-0.1,15.55,pre
0.0,15.55,stroking
0.1,15.58,stroking
0.2,15.55,stroking
0.3,15.53,stroking
0.4,15.53,stroking
0.5,15.53,stroking
0.6,15.53,stroking
0.7,15.53,stroking
0.8,15.53,stroking
0.9,15.53,stroking
1.0,15.5,stroking
1.1,15.5,stroking
1.2,15.5,stroking
1.3,15.5,stroking
1.4,15.48,stroking
1.5,15.48,stroking
1.6,15.45,stroking
1.7,15.45,stroking
1.8,15.48,stroking
1.9,15.45,stroking
2.0,15.45,stroking
2.1,15.43,stroking
2.2,15.43,stroking
2.3,15.43,stroking
2.4,15.43,stroking
2.5,15.41,stroking
2.6,15.41,stroking
2.7,15.41,stroking
2.8,15.38,stroking
2.9,15.38,stroking
3.0,15.38,stroking
3.1,15.41,stroking
3.2,15.38,stroking
3.3,15.36,stroking
3.4,15.36,stroking
3.5,15.36,stroking
3.6,15.33,stroking
3.7,15.33,stroking
3.8,15.33,stroking
3.9,15.31,stroking
4.0,15.31,stroking
4.1,15.31,stroking
4.2,15.31,stroking
4.3,15.31,stroking
4.4,15.31,stroking
4.5,15.31,stroking
4.6,15.28,stroking
4.7,15.28,stroking
4.8,15.26,stroking
4.9,15.26,stroking
5.0,15.26,stroking
5.1,15.26,stroking
5.2,15.28,stroking
5.3,15.28,stroking
5.4,15.26,stroking
5.5,15.26,stroking
5.6,15.26,stroking
5.7,15.23,stroking
5.8,15.23,stroking
5.9,15.23,stroking
6.0,15.23,stroking
6.1,15.26,stroking
6.2,15.26,stroking
6.3,15.23,stroking
6.4,15.23,stroking
6.5,15.23,stroking
6.6,15.23,stroking
6.7,15.23,stroking
6.8,15.23,stroking
6.9,15.23,stroking
7.0,15.23,stroking
7.1,15.21,stroking
7.2,15.21,stroking
7.3,15.21,stroking
7.4,15.21,stroking
7.5,15.21,stroking
7.6,15.16,stroking
7.7,15.16,stroking
7.8,15.16,stroking
7.9,15.16,stroking
8.0,15.16,stroking
8.1,15.14,stroking
8.2,15.14,stroking
8.3,15.14,stroking
8.4,15.11,stroking
8.5,15.11,stroking
8.6,15.11,stroking
8.7,15.11,stroking
8.8,15.11,stroking
8.9,15.09,stroking
9.0,15.11,stroking
9.1,15.09,stroking
9.2,15.06,stroking
9.3,15.06,stroking
9.4,15.06,stroking
9.5,15.04,stroking
9.6,15.01,stroking
9.7,15.01,stroking
9.8,15.01,stroking
9.9,15.01,stroking
10.0,15.01,stroking
10.1,15.01,stroking
10.2,15.01,stroking
10.3,14.99,stroking
10.4,14.99,stroking
10.5,14.99,stroking
10.6,14.97,stroking
10.7,14.99,stroking
10.8,14.99,stroking
10.9,14.97,stroking
11.0,14.94,stroking
11.1,14.97,stroking
11.2,14.94,stroking
11.3,14.92,stroking
11.4,14.94,stroking
11.5,14.94,stroking
11.6,14.92,stroking
11.7,14.92,stroking
11.8,14.92,stroking
11.9,14.92,stroking
12.0,14.92,stroking
12.1,14.89,stroking
12.2,14.92,stroking
12.3,14.89,stroking
12.4,14.87,stroking
12.5,14.87,stroking
12.6,14.84,stroking
12.7,14.84,stroking
12.8,14.84,stroking
12.9,14.84,stroking
13.0,14.84,stroking
13.1,14.82,stroking
13.2,14.82,stroking
13.3,14.82,stroking
13.4,14.82,stroking
13.5,14.82,stroking
13.6,14.79,stroking
13.7,14.79,stroking
13.8,14.75,stroking
13.9,14.77,stroking
14.0,14.79,stroking
14.1,14.77,stroking
14.2,14.75,stroking
14.3,14.75,stroking
14.4,14.77,stroking
14.5,14.75,stroking
14.6,14.75,stroking
14.7,14.75,stroking
14.8,14.75,stroking
14.9,14.75,stroking
15.0,14.75,stroking
15.1,14.75,stroking
15.2,14.75,stroking
15.3,14.72,stroking
15.4,14.7,stroking
15.5,14.7,stroking
15.6,14.72,stroking
15.7,14.67,stroking
15.8,14.7,stroking
15.9,14.67,stroking
16.0,14.67,stroking
16.1,14.65,stroking
16.2,14.67,stroking
16.3,14.67,stroking
16.4,14.67,stroking
16.5,14.65,stroking
16.6,14.65,stroking
16.7,14.65,stroking
16.8,14.65,stroking
16.9,14.65,stroking
17.0,14.65,stroking
17.1,14.62,stroking
17.2,14.62,stroking
17.3,14.62,stroking
17.4,14.62,stroking
17.5,14.62,stroking
17.6,14.6,stroking
17.7,14.6,stroking
17.8,14.62,stroking
17.9,14.6,stroking
18.0,14.62,stroking
18.1,14.6,stroking
18.2,14.6,stroking
18.3,14.58,stroking
18.4,14.58,stroking
18.5,14.58,stroking
18.6,14.55,stroking
18.7,14.55,stroking
18.8,14.58,stroking
18.9,14.55,stroking
19.0,14.58,stroking
19.1,14.53,stroking
19.2,14.55,stroking
19.3,14.55,stroking
19.4,14.53,stroking
19.5,14.53,stroking
19.6,14.53,stroking
19.7,14.55,stroking
19.8,14.53,stroking
19.9,14.55,stroking
20.0,14.53,stroking
20.1,14.55,stroking
20.2,14.55,stroking
20.3,14.55,stroking
20.4,14.53,stroking
20.5,14.53,stroking
20.6,14.53,stroking
20.7,14.53,stroking
20.8,14.53,stroking
20.9,14.5,stroking
21.0,14.5,stroking
21.1,14.53,stroking
