time_s,eda_uS,phase
-20.0,11.38,pre
-19.9,11.4,pre
-19.8,11.4,pre
-19.7,11.38,pre
-19.6,11.38,pre
-19.5,11.35,pre
-19.4,11.33,pre
-19.3,11.35,pre
-19.2,11.35,pre
-19.1,11.33,pre
-19.0,11.35,pre
-18.9,11.33,pre
-18.8,11.33,pre
-18.7,11.3,pre
-18.6,11.3,pre
-18.5,11.3,pre
-18.4,11.3,pre
-18.3,11.33,pre
-18.2,11.33,pre
-18.1,11.3,pre
-18.0,11.3,pre
-17.9,11.3,pre
-17.8,11.28,pre
-17.7,11.3,pre
-17.6,11.28,pre
-17.5,11.28,pre
-17.4,11.28,pre
-17.3,11.28,pre
-17.2,11.28,pre
-17.1,11.25,pre
-17.0,11.25,pre
-16.9,11.23,pre
-16.8,11.23,pre
-16.7,11.23,pre
-16.6,11.23,pre
-16.5,11.23,pre
-16.4,11.23,pre
-16.3,11.21,pre
-16.2,11.21,pre
-16.1,11.23,pre
-16.0,11.21,pre
-15.9,11.21,pre
-15.8,11.21,pre
-15.7,11.18,pre
-15.6,11.16,pre
-15.5,11.16,pre
-15.4,11.16,pre
-15.3,11.16,pre
-15.2,11.16,pre
-15.1,11.11,pre
-15.0,11.13,pre
-14.9,11.11,pre
-14.8,11.11,pre
-14.7,11.11,pre
-14.6,11.11,pre
-14.5,11.13,pre
-14.4,11.13,pre
-14.3,11.11,pre
-14.2,11.11,pre
-14.1,11.08,pre
-14.0,11.06,pre
-13.9,11.08,pre
-13.8,11.11,pre
-13.7,11.08,pre
-13.6,11.08,pre
-13.5,11.08,pre
-13.4,11.06,pre
-13.3,11.04,pre
-13.2,11.04,pre
-13.1,11.06,pre
-13.0,11.04,pre
-12.9,11.04,pre
-12.8,11.04,pre
-12.7,11.04,pre
-12.6,11.01,pre
-12.5,11.01,pre
-12.4,11.01,pre
-12.3,11.01,pre
-12.2,11.01,pre
-12.1,11.01,pre
-12.0,10.99,pre
-11.9,10.99,pre
-11.8,11.01,pre
-11.7,10.99,pre
-11.6,11.01,pre
-11.5,10.99,pre
-11.4,10.99,pre
-11.3,10.96,pre
-11.2,10.96,pre
-11.1,10.94,pre
-11.0,10.94,pre
-10.9,10.94,pre
-10.8,10.94,pre
-10.7,10.94,pre
-10.6,10.91,pre
-10.5,10.94,pre
-10.4,10.91,pre
-10.3,10.91,pre
-10.2,10.89,pre
-10.1,10.89,pre
-10.0,10.91,pre
-9.9,10.86,pre
-9.8,10.84,pre
-9.7,10.84,pre
-9.6,10.86,pre
-9.5,10.86,pre
-9.4,10.84,pre
-9.3,10.84,pre
-9.2,10.84,pre
-9.1,10.82,pre
-9.0,10.82,pre
-8.9,10.84,pre
-8.8,10.82,pre
-8.7,10.82,pre
-8.6,10.79,pre
-8.5,10.79,pre
-8.4,10.79,pre
-8.3,10.77,pre
-8.2,10.77,pre
-8.1,10.77,pre
-8.0,10.77,pre
-7.9,10.74,pre
-7.8,10.74,pre
-7.7,10.77,pre
-7.6,10.72,pre
-7.5,10.72,pre
-7.4,10.69,pre
-7.3,10.72,pre
-7.2,10.69,pre
-7.1,10.72,pre
-7.0,10.69,pre
-6.9,10.67,pre
-6.8,10.69,pre
-6.7,10.67,pre
-6.6,10.64,pre
