participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S01,parallel,ff_pid,1,s,50794,38.50,0.0000,0.0000,-0.02,0.022,0.0,0.37768,0.0,0.0,0,0
S01,parallel,ff_pid,1,s,50894,38.86,0.0000,0.0000,0.09,0.870,0.1,0.38122,0.0,0.0,0,0
S01,parallel,ff_pid,1,f,50995,39.23,0.0021,0.0000,0.28,2.518,0.201,0.38485,0.21,0.0,1,0
S01,parallel,ff_pid,1,f,51096,39.81,0.0052,0.0000,0.35,2.777,0.302,0.39054,0.52,0.0,1,1
S01,parallel,ff_pid,1,f,51196,41.07,0.0079,0.0000,0.40,2.870,0.402,0.4029,0.79,0.0,1,1
S01,parallel,ff_pid,1,f,51297,42.75,0.0107,0.0000,0.38,2.914,0.503,0.41938,1.07,0.0,1,1
S01,parallel,ff_pid,1,f,51398,46.89,0.0134,0.0000,0.37,2.915,0.604,0.45999,1.34,0.0,1,1
S01,parallel,ff_pid,1,f,51501,48.41,0.0165,0.0000,0.33,2.931,0.707,0.4749,1.65,0.0,1,1
S01,parallel,ff_pid,1,f,51604,49.05,0.0192,0.0000,0.31,2.975,0.81,0.48118,1.92,0.0,1,1
S01,parallel,ff_pid,1,f,51708,48.69,0.0223,0.0000,0.29,2.945,0.914,0.47765,2.23,0.0,1,1
S01,parallel,ff_pid,1,f,51811,47.80,0.0250,0.0000,0.30,2.991,1.017,0.46892,2.5,0.0,1,1
S01,parallel,ff_pid,1,f,51915,46.71,0.0278,0.0000,0.30,2.945,1.121,0.45823,2.78,0.0,1,1
S01,parallel,ff_pid,1,f,52018,46.54,0.0305,0.0000,0.29,2.960,1.224,0.45656,3.05,0.0,1,1
S01,parallel,ff_pid,1,f,52122,46.60,0.0333,0.0000,0.26,3.067,1.328,0.45715,3.33,0.0,1,1
S01,parallel,ff_pid,1,f,52224,46.73,0.0360,0.0000,0.23,3.098,1.43,0.45842,3.6,0.0,1,1
S01,parallel,ff_pid,1,f,52427,46.82,0.0412,0.0000,0.20,3.098,1.633,0.4593,4.12,0.0,1,1
S01,parallel,ff_pid,1,f,52553,46.71,0.0446,0.0000,0.15,2.899,1.759,0.45823,4.46,0.0,1,1
S01,parallel,ff_pid,1,f,52654,46.63,0.0470,0.0000,0.19,3.037,1.86,0.45744,4.7,0.0,1,1
S01,parallel,ff_pid,1,f,52754,46.55,0.0497,0.0000,0.15,2.930,1.96,0.45666,4.97,0.0,1,1
S01,parallel,ff_pid,1,f,52887,46.41,0.0531,0.0000,0.10,3.006,2.093,0.45528,5.31,0.0,1,1
S01,parallel,ff_pid,1,f,52988,46.24,0.0555,0.0003,0.11,3.067,2.194,0.45361,5.55,0.03,1,1
S01,parallel,ff_pid,1,f,53089,46.09,0.0583,0.0003,0.10,3.055,2.295,0.45214,5.83,0.03,1,1
S01,parallel,ff_pid,1,f,53190,45.93,0.0607,0.0003,0.08,3.012,2.396,0.45057,6.07,0.03,1,1
S01,parallel,ff_pid,1,f,53291,45.72,0.0632,0.0003,0.08,3.072,2.497,0.44851,6.32,0.03,1,1
S01,parallel,ff_pid,1,f,53392,45.62,0.0656,0.0003,0.05,3.102,2.598,0.44753,6.56,0.03,1,1
S01,parallel,ff_pid,1,f,53492,45.68,0.0681,0.0003,0.03,2.962,2.698,0.44812,6.81,0.03,1,1
S01,parallel,ff_pid,1,f,53595,45.79,0.0705,0.0003,-0.01,3.011,2.801,0.4492,7.05,0.03,1,1
S01,parallel,ff_pid,1,f,53699,45.96,0.0732,0.0003,-0.06,3.145,2.905,0.45087,7.32,0.03,1,1
S01,parallel,ff_pid,1,f,53802,46.11,0.0757,0.0003,-0.23,3.159,3.008,0.45234,7.57,0.03,1,1
S01,parallel,ff_pid,1,f,53906,46.36,0.0781,0.0003,-0.28,3.159,3.112,0.45479,7.81,0.03,1,1
S01,parallel,ff_pid,1,f,54071,46.39,0.0821,0.0003,-0.36,3.207,3.277,0.45509,8.21,0.03,1,1
S01,parallel,ff_pid,1,f,54172,46.43,0.0845,0.0003,-0.36,3.071,3.378,0.45548,8.45,0.03,1,1
S01,parallel,ff_pid,1,f,54272,46.56,0.0870,0.0003,-0.36,3.177,3.478,0.45675,8.7,0.03,1,1
S01,parallel,ff_pid,1,f,54372,46.59,0.0897,0.0003,-0.35,3.195,3.578,0.45705,8.97,0.03,1,1
S01,parallel,ff_pid,1,f,54472,46.66,0.0922,0.0006,-0.32,3.011,3.678,0.45773,9.22,0.06,1,1
S01,parallel,ff_pid,1,f,54612,46.71,0.0958,0.0006,-0.34,3.076,3.818,0.45823,9.58,0.06,1,1
S01,parallel,ff_pid,1,f,54712,46.74,0.0983,0.0006,-0.29,3.110,3.918,0.45852,9.83,0.06,1,1
S01,parallel,ff_pid,1,f,54813,46.74,0.1010,0.0006,-0.30,3.016,4.019,0.45852,10.1,0.06,1,1
S01,parallel,ff_pid,1,f,54913,46.72,0.1035,0.0006,-0.24,3.111,4.119,0.45832,10.35,0.06,1,1
S01,parallel,ff_pid,1,f,55014,46.66,0.1062,0.0006,-0.18,3.101,4.22,0.45773,10.62,0.06,1,1
S01,parallel,ff_pid,1,f,55173,46.53,0.1102,0.0006,-0.09,2.851,4.379,0.45646,11.02,0.06,1,1
S01,parallel,ff_pid,1,f,55274,46.45,0.1126,0.0006,-0.03,2.961,4.48,0.45567,11.26,0.06,1,1
S01,parallel,ff_pid,1,f,55374,46.40,0.1151,0.0006,-0.02,3.097,4.58,0.45518,11.51,0.06,1,1
S01,parallel,ff_pid,1,f,55474,46.37,0.1175,0.0006,-0.01,3.004,4.68,0.45489,11.75,0.06,1,1
