participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S12,parallel,ff_pid,1,f,89002,39.16,0.0000,0.0000,0.00,0.043,0.0,0.38416,0.0,0.0,1,0
S12,parallel,ff_pid,1,f,89102,39.19,0.0003,0.0000,0.04,0.931,0.1,0.38445,0.03,0.0,1,1
S12,parallel,ff_pid,1,f,89253,39.32,0.0037,0.0000,0.26,2.442,0.251,0.38573,0.37,0.0,1,1
S12,parallel,ff_pid,1,f,89359,39.83,0.0061,0.0000,0.58,2.609,0.357,0.39073,0.61,0.0,1,1
S12,parallel,ff_pid,1,f,89459,39.83,0.0089,0.0000,0.68,2.823,0.457,0.39073,0.89,0.0,1,1
S12,parallel,ff_pid,1,f,89608,42.14,0.0131,0.0000,0.74,2.930,0.606,0.41339,1.31,0.0,1,1
S12,parallel,ff_pid,1,f,89708,44.26,0.0159,0.0000,0.69,2.950,0.706,0.43419,1.59,0.0,1,1
S12,parallel,ff_pid,1,f,89809,48.53,0.0186,0.0000,0.65,2.900,0.807,0.47608,1.86,0.0,1,1
S12,parallel,ff_pid,1,f,89910,49.87,0.0214,0.0000,0.59,2.823,0.908,0.48922,2.14,0.0,1,1
S12,parallel,ff_pid,1,f,90010,50.58,0.0241,0.0000,0.55,3.006,1.008,0.49619,2.41,0.0,1,1
S12,parallel,ff_pid,1,f,90114,50.60,0.0269,0.0000,0.52,2.991,1.112,0.49639,2.69,0.0,1,1
S12,parallel,ff_pid,1,f,90217,50.29,0.0296,0.0000,0.48,3.067,1.215,0.49334,2.96,0.0,1,1
S12,parallel,ff_pid,1,f,90322,49.67,0.0323,0.0000,0.43,3.008,1.32,0.48726,3.23,0.0,1,1
S12,parallel,ff_pid,1,f,90424,49.44,0.0351,0.0000,0.35,3.009,1.422,0.48501,3.51,0.0,1,1
S12,parallel,ff_pid,1,f,90527,49.18,0.0375,0.0000,0.28,2.964,1.525,0.48246,3.75,0.0,1,1
S12,parallel,ff_pid,1,f,90638,49.01,0.0406,0.0000,0.18,3.174,1.636,0.48079,4.06,0.0,1,1
S12,parallel,ff_pid,1,f,90738,48.91,0.0430,0.0000,0.10,3.083,1.736,0.47981,4.3,0.0,1,1
S12,parallel,ff_pid,1,f,90838,48.91,0.0455,0.0000,0.07,3.083,1.836,0.47981,4.55,0.0,1,1
S12,parallel,ff_pid,1,f,90938,49.17,0.0482,0.0000,0.06,3.130,1.936,0.48236,4.82,0.0,1,1
S12,parallel,ff_pid,1,f,91057,49.18,0.0513,0.0000,0.13,3.085,2.055,0.48246,5.13,0.0,1,1
S12,parallel,ff_pid,1,f,91157,49.15,0.0537,0.0000,0.12,2.999,2.155,0.48216,5.37,0.0,1,1
S12,parallel,ff_pid,1,f,91257,49.07,0.0562,0.0000,0.13,3.084,2.255,0.48138,5.62,0.0,1,1
S12,parallel,ff_pid,1,f,91357,48.84,0.0589,0.0000,0.14,3.044,2.355,0.47912,5.89,0.0,1,1
S12,parallel,ff_pid,1,f,91458,48.30,0.0613,0.0000,0.17,3.072,2.456,0.47382,6.13,0.0,1,1
S12,parallel,ff_pid,1,f,91560,48.03,0.0641,0.0000,0.14,2.995,2.558,0.47117,6.41,0.0,1,1
S12,parallel,ff_pid,1,f,91663,47.79,0.0665,0.0000,0.06,3.164,2.661,0.46882,6.65,0.0,1,1
S12,parallel,ff_pid,1,f,91867,47.59,0.0717,0.0000,-0.29,3.238,2.865,0.46686,7.17,0.0,1,1
S12,parallel,ff_pid,1,f,91967,47.60,0.0745,0.0000,-0.24,3.133,2.965,0.46696,7.45,0.0,1,1
S12,parallel,ff_pid,1,f,92076,47.93,0.0769,0.0000,-0.13,3.166,3.074,0.47019,7.69,0.0,1,1
S12,parallel,ff_pid,1,f,92176,48.03,0.0793,0.0000,-0.10,3.157,3.174,0.47117,7.93,0.0,1,1
S12,parallel,ff_pid,1,f,92308,48.22,0.0827,0.0000,-0.21,3.037,3.306,0.47304,8.27,0.0,1,1
S12,parallel,ff_pid,1,f,92408,48.22,0.0854,0.0000,-0.15,2.976,3.406,0.47304,8.54,0.0,1,1
S12,parallel,ff_pid,1,f,92508,48.05,0.0879,0.0000,-0.13,3.087,3.506,0.47137,8.79,0.0,1,1
S12,parallel,ff_pid,1,f,92608,48.04,0.0903,0.0003,-0.08,3.099,3.606,0.47127,9.03,0.03,1,1
S12,parallel,ff_pid,1,f,92710,48.04,0.0931,0.0003,-0.08,3.139,3.708,0.47127,9.31,0.03,1,1
S12,parallel,ff_pid,1,f,92814,48.09,0.0958,0.0003,-0.01,3.029,3.812,0.47176,9.58,0.03,1,1
S12,parallel,ff_pid,1,f,92917,48.31,0.0983,0.0003,0.01,3.040,3.915,0.47392,9.83,0.03,1,1
S12,parallel,ff_pid,1,f,93021,48.62,0.1010,0.0003,0.03,3.038,4.019,0.47696,10.1,0.03,1,1
S12,parallel,ff_pid,1,f,93125,48.71,0.1038,0.0003,0.04,3.053,4.123,0.47785,10.38,0.03,1,1
S12,parallel,ff_pid,1,f,93328,48.59,0.1086,0.0003,0.16,3.043,4.326,0.47667,10.86,0.03,1,1
S12,parallel,ff_pid,1,f,93429,48.42,0.1114,0.0003,0.15,3.074,4.427,0.475,11.14,0.03,1,1
S12,parallel,ff_pid,1,f,93579,48.27,0.1147,0.0006,0.12,3.029,4.577,0.47353,11.47,0.06,1,1
S12,parallel,ff_pid,1,f,93679,48.47,0.1172,0.0006,0.17,3.059,4.677,0.47549,11.72,0.06,1,1
S12,parallel,ff_pid,1,f,93780,48.96,0.1196,0.0006,0.23,2.999,4.778,0.4803,11.96,0.06,1,0
S12,parallel,ff_pid,1,s,93880,50.91,0.1208,0.0006,0.32,0.858,4.878,0.49943,12.08,0.06,0,0
S12,parallel,ff_pid,1,s,93981,52.10,0.1208,0.0006,0.32,0.891,4.979,0.5111,12.08,0.06,0,0
S12,parallel,ff_pid,1,s,94082,52.91,0.1208,0.0006,0.32,0.910,5.08,0.51905,12.08,0.06,0,0
S12,parallel,ff_pid,1,s,94183,53.16,0.1208,0.0006,0.32,0.913,5.181,0.5215,12.08,0.06,0,0
S12,parallel,ff_pid,1,s,94284,52.97,0.1208,0.0006,0.32,0.946,5.282,0.51964,12.08,0.06,0,0
S12,parallel,ff_pid,1,s,94387,52.47,0.1208,0.0006,0.32,0.906,5.385,0.51473,12.08,0.06,0,0
S12,parallel,ff_pid,1,b,94562,49.56,0.1175,0.0006,0.14,2.265,5.56,0.48618,11.75,0.06,1,0
S12,parallel,ff_pid,1,b,94662,49.56,0.1147,0.0003,-0.15,2.524,5.66,0.48618,11.47,0.03,1,1
S12,parallel,ff_pid,1,b,94763,39.48,0.1117,0.0003,-0.40,2.627,5.761,0.3873,11.17,0.03,1,1
