participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S17,parallel,ff_pid,1,s,70492,39.37,0.0000,0.0000,0.03,0.034,0.0,0.38622,0.0,0.0,0,0
S17,parallel,ff_pid,1,s,70593,39.34,0.0000,0.0000,0.04,0.966,0.101,0.38593,0.0,0.0,0,0
S17,parallel,ff_pid,1,f,70743,39.29,0.0034,0.0000,0.36,2.474,0.251,0.38543,0.34,0.0,1,0
S17,parallel,ff_pid,1,f,70843,39.55,0.0061,0.0000,0.42,2.869,0.351,0.38799,0.61,0.0,1,1
S17,parallel,ff_pid,1,f,70943,40.28,0.0089,0.0000,0.43,2.823,0.451,0.39515,0.89,0.0,1,1
S17,parallel,ff_pid,1,f,71043,42.93,0.0113,0.0000,0.49,2.900,0.551,0.42114,1.13,0.0,1,1
S17,parallel,ff_pid,1,f,71152,44.31,0.0146,0.0003,0.47,2.777,0.66,0.43468,1.46,0.03,1,1
S17,parallel,ff_pid,1,f,71253,45.34,0.0174,0.0000,0.39,2.884,0.761,0.44479,1.74,0.0,1,1
S17,parallel,ff_pid,1,f,71353,46.02,0.0201,0.0000,0.34,2.915,0.861,0.45146,2.01,0.0,1,1
S17,parallel,ff_pid,1,f,71453,46.14,0.0229,0.0003,0.28,3.007,0.961,0.45263,2.29,0.03,1,1
S17,parallel,ff_pid,1,f,71553,45.93,0.0256,0.0003,0.21,2.930,1.061,0.45057,2.56,0.03,1,1
S17,parallel,ff_pid,1,f,71656,46.12,0.0284,0.0000,0.14,3.023,1.164,0.45244,2.84,0.0,1,1
S17,parallel,ff_pid,1,f,71760,46.52,0.0311,0.0000,0.12,3.055,1.268,0.45636,3.11,0.0,1,1
S17,parallel,ff_pid,1,f,71862,47.17,0.0336,0.0000,0.10,3.130,1.37,0.46274,3.36,0.0,1,1
S17,parallel,ff_pid,1,f,71966,48.00,0.0363,0.0000,0.10,3.006,1.474,0.47088,3.63,0.0,1,1
S17,parallel,ff_pid,1,f,72071,48.79,0.0391,0.0000,0.09,3.143,1.579,0.47863,3.91,0.0,1,1
S17,parallel,ff_pid,1,f,72174,49.81,0.0415,0.0000,0.07,3.128,1.682,0.48864,4.15,0.0,1,1
S17,parallel,ff_pid,1,f,72278,50.04,0.0443,0.0003,0.07,3.052,1.786,0.49089,4.43,0.03,1,1
S17,parallel,ff_pid,1,f,72397,50.14,0.0473,0.0003,0.09,3.282,1.905,0.49187,4.73,0.03,1,1
S17,parallel,ff_pid,1,f,72497,50.13,0.0500,0.0003,0.04,3.038,2.005,0.49178,5.0,0.03,1,1
S17,parallel,ff_pid,1,f,72598,50.17,0.0525,0.0003,0.05,3.113,2.106,0.49217,5.25,0.03,1,1
S17,parallel,ff_pid,1,f,72698,50.45,0.0549,0.0003,0.06,3.082,2.206,0.49491,5.49,0.03,1,1
S17,parallel,ff_pid,1,f,72854,50.62,0.0589,0.0006,0.20,2.901,2.362,0.49658,5.89,0.06,1,1
S17,parallel,ff_pid,1,f,73000,50.58,0.0626,0.0006,0.08,2.886,2.508,0.49619,6.26,0.06,1,1
S17,parallel,ff_pid,1,f,73100,50.54,0.0650,0.0006,0.03,2.993,2.608,0.4958,6.5,0.06,1,1
S17,parallel,ff_pid,1,f,73200,50.53,0.0674,0.0006,0.02,2.903,2.708,0.4957,6.74,0.06,1,1
S17,parallel,ff_pid,1,f,73300,50.60,0.0699,0.0006,-0.01,2.917,2.808,0.49639,6.99,0.06,1,1
S17,parallel,ff_pid,1,f,73400,50.78,0.0723,0.0006,-0.03,3.040,2.908,0.49815,7.23,0.06,1,1
S17,parallel,ff_pid,1,f,73502,50.90,0.0748,0.0006,-0.03,3.028,3.01,0.49933,7.48,0.06,1,1
S17,parallel,ff_pid,1,f,73605,51.05,0.0772,0.0006,-0.04,3.138,3.113,0.5008,7.72,0.06,1,1
S17,parallel,ff_pid,1,f,73725,51.35,0.0803,0.0009,-0.15,2.999,3.233,0.50374,8.03,0.09,1,1
S17,parallel,ff_pid,1,f,73825,51.76,0.0827,0.0009,-0.04,3.067,3.333,0.50777,8.27,0.09,1,1
S17,parallel,ff_pid,1,f,73926,52.24,0.0854,0.0009,-0.01,3.081,3.434,0.51247,8.54,0.09,1,1
S17,parallel,ff_pid,1,f,74026,52.70,0.0876,0.0009,-0.02,3.040,3.534,0.51699,8.76,0.09,1,1
S17,parallel,ff_pid,1,f,74126,53.13,0.0900,0.0009,0.05,3.042,3.634,0.52121,9.0,0.09,1,1
S17,parallel,ff_pid,1,f,74227,53.40,0.0928,0.0012,0.06,2.999,3.735,0.52385,9.28,0.12,1,1
S17,parallel,ff_pid,1,f,74331,53.42,0.0952,0.0012,0.03,3.056,3.839,0.52405,9.52,0.12,1,1
S17,parallel,ff_pid,1,f,74435,53.27,0.0980,0.0012,0.01,2.983,3.943,0.52258,9.8,0.12,1,1
S17,parallel,ff_pid,1,f,74538,53.00,0.1004,0.0012,-0.03,3.026,4.046,0.51993,10.04,0.12,1,1
S17,parallel,ff_pid,1,f,74642,52.62,0.1031,0.0012,-0.10,3.103,4.15,0.5162,10.31,0.12,1,1
S17,parallel,ff_pid,1,f,74745,52.24,0.1059,0.0012,-0.15,3.104,4.253,0.51247,10.59,0.12,1,1
S17,parallel,ff_pid,1,f,74866,51.75,0.1089,0.0012,-0.26,3.062,4.374,0.50767,10.89,0.12,1,1
S17,parallel,ff_pid,1,f,74966,51.31,0.1114,0.0012,-0.26,3.065,4.474,0.50335,11.14,0.12,1,1
S17,parallel,ff_pid,1,f,75123,51.00,0.1154,0.0012,-0.20,3.110,4.631,0.50031,11.54,0.12,1,1
S17,parallel,ff_pid,1,f,75223,50.75,0.1178,0.0012,-0.24,3.110,4.731,0.49786,11.78,0.12,1,1
S17,parallel,ff_pid,1,f,75325,50.66,0.1205,0.0015,-0.23,2.551,4.833,0.49697,12.05,0.15,1,0
S17,parallel,ff_pid,1,s,75426,50.67,0.1208,0.0015,-0.22,0.739,4.934,0.49707,12.08,0.15,0,0
S17,parallel,ff_pid,1,s,75526,50.52,0.1208,0.0015,-0.22,0.788,5.034,0.4956,12.08,0.15,0,0
S17,parallel,ff_pid,1,s,75626,50.01,0.1208,0.0015,-0.22,0.779,5.134,0.4906,12.08,0.15,0,0
S17,parallel,ff_pid,1,s,75727,48.57,0.1208,0.0015,-0.22,0.800,5.235,0.47647,12.08,0.15,0,0
S17,parallel,ff_pid,1,s,75828,47.78,0.1208,0.0015,-0.22,0.000,5.336,0.46872,12.08,0.15,0,0
S17,parallel,ff_pid,1,s,75929,47.16,0.1208,0.0015,-0.21,0.336,5.437,0.46264,12.08,0.15,0,0
S17,parallel,ff_pid,1,b,76029,46.79,0.1184,0.0015,-0.24,1.988,5.537,0.45901,11.84,0.15,1,0
S17,parallel,ff_pid,1,b,76130,45.26,0.1154,0.0012,-0.23,2.715,5.638,0.444,11.54,0.12,1,1
S17,parallel,ff_pid,1,b,76230,41.27,0.1120,0.0012,-0.21,2.644,5.738,0.40486,11.2,0.12,1,1
S17,parallel,ff_pid,1,b,76330,36.74,0.1089,0.0009,-0.19,2.614,5.838,0.36042,10.89,0.09,1,1
S17,parallel,ff_pid,1,b,76432,28.87,0.1056,0.0009,-0.18,2.679,5.94,0.28321,10.56,0.09,1,1
S17,parallel,ff_pid,1,b,76615,27.84,0.1001,0.0009,-0.30,2.580,6.123,0.27311,10.01,0.09,1,1
S17,parallel,ff_pid,1,b,76716,29.23,0.0970,0.0009,-0.32,2.556,6.224,0.28675,9.7,0.09,1,1
S17,parallel,ff_pid,1,b,76817,30.43,0.0937,0.0006,-0.31,2.672,6.325,0.29852,9.37,0.06,1,1
S17,parallel,ff_pid,1,b,76918,31.09,0.0906,0.0006,-0.30,2.674,6.426,0.30499,9.06,0.06,1,1
S17,parallel,ff_pid,1,b,77018,31.85,0.0879,0.0006,-0.37,2.585,6.526,0.31245,8.79,0.06,1,1
S17,parallel,ff_pid,1,b,77153,34.69,0.0836,0.0006,-0.37,2.594,6.661,0.34031,8.36,0.06,1,1
S17,parallel,ff_pid,1,b,77253,37.17,0.0806,0.0003,-0.30,2.641,6.761,0.36464,8.06,0.03,1,1
S17,parallel,ff_pid,1,b,77353,39.84,0.0775,0.0003,-0.19,2.686,6.861,0.39083,7.75,0.03,1,1
S17,parallel,ff_pid,1,b,77453,42.50,0.0742,0.0000,-0.10,2.794,6.961,0.41692,7.42,0.0,1,1
S17,parallel,ff_pid,1,b,77555,42.28,0.0711,0.0000,-0.08,2.610,7.063,0.41477,7.11,0.0,1,1
S17,parallel,ff_pid,1,b,77658,40.99,0.0677,0.0000,-0.04,2.641,7.166,0.40211,6.77,0.0,1,1
S17,parallel,ff_pid,1,b,77823,37.66,0.0626,0.0000,0.07,2.979,7.331,0.36944,6.26,0.0,1,1
S17,parallel,ff_pid,1,b,77923,36.74,0.0595,0.0000,0.04,2.812,7.431,0.36042,5.95,0.0,1,1
S17,parallel,ff_pid,1,b,78115,36.13,0.0534,0.0000,-0.03,2.778,7.623,0.35444,5.34,0.0,1,1
S17,parallel,ff_pid,1,b,78215,36.15,0.0504,0.0000,-0.02,2.778,7.723,0.35463,5.04,0.0,1,1
S17,parallel,ff_pid,1,b,78315,36.19,0.0470,0.0000,0.03,2.778,7.823,0.35502,4.7,0.0,1,1
S17,parallel,ff_pid,1,b,78416,36.13,0.0436,0.0000,0.16,2.670,7.924,0.35444,4.36,0.0,1,1
S17,parallel,ff_pid,1,b,78516,36.06,0.0403,0.0000,0.16,2.762,8.024,0.35375,4.03,0.0,1,1
S17,parallel,ff_pid,1,b,78620,36.01,0.0369,0.0000,0.19,2.731,8.128,0.35326,3.69,0.0,1,1
S17,parallel,ff_pid,1,b,78724,36.08,0.0336,0.0000,0.14,2.777,8.232,0.35394,3.36,0.0,1,1
S17,parallel,ff_pid,1,b,78827,36.30,0.0302,0.0000,0.12,2.731,8.335,0.3561,3.02,0.0,1,1
S17,parallel,ff_pid,1,b,78931,37.14,0.0272,0.0000,0.11,2.594,8.439,0.36434,2.72,0.0,1,1
S17,parallel,ff_pid,1,b,79034,37.76,0.0238,0.0000,0.07,2.670,8.542,0.37043,2.38,0.0,1,1
S17,parallel,ff_pid,1,b,79136,38.36,0.0208,0.0000,0.05,2.641,8.644,0.37631,2.08,0.0,1,1
S17,parallel,ff_pid,1,b,79240,38.75,0.0177,0.0000,0.03,2.643,8.748,0.38014,1.77,0.0,1,1
S17,parallel,ff_pid,1,b,79344,38.89,0.0143,0.0000,0.04,2.581,8.852,0.38151,1.43,0.0,1,1
S17,parallel,ff_pid,1,b,79448,38.41,0.0116,-0.0003,0.16,2.565,8.956,0.3768,1.16,-0.03,1,1
S17,parallel,ff_pid,1,b,79552,37.90,0.0085,-0.0003,0.09,2.703,9.06,0.3718,0.85,-0.03,1,1
S17,parallel,ff_pid,1,b,79714,37.58,0.0037,-0.0003,0.33,2.916,9.222,0.36866,0.37,-0.03,1,1
