participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S08,parallel,ff_pid,1,f,39608,39.35,0.0000,0.0000,-0.05,0.034,0.0,0.38602,0.0,0.0,1,0
S08,parallel,ff_pid,1,f,39709,39.25,0.0003,0.0000,0.14,0.857,0.101,0.38504,0.03,0.0,1,1
S08,parallel,ff_pid,1,f,39811,39.16,0.0024,0.0000,0.29,2.625,0.203,0.38416,0.24,0.0,1,1
S08,parallel,ff_pid,1,f,39961,39.11,0.0064,0.0000,0.63,2.533,0.353,0.38367,0.64,0.0,1,1
S08,parallel,ff_pid,1,f,40062,39.71,0.0092,0.0000,0.70,2.855,0.454,0.38956,0.92,0.0,1,1
S08,parallel,ff_pid,1,f,40163,40.70,0.0119,0.0000,0.66,2.930,0.555,0.39927,1.19,0.0,1,1
S08,parallel,ff_pid,1,f,40312,43.47,0.0162,0.0000,0.59,3.100,0.704,0.42644,1.62,0.0,1,1
S08,parallel,ff_pid,1,f,40437,45.08,0.0195,0.0000,0.28,2.976,0.829,0.44223,1.95,0.0,1,1
S08,parallel,ff_pid,1,f,40538,46.24,0.0223,0.0000,0.32,3.006,0.93,0.45361,2.23,0.0,1,1
S08,parallel,ff_pid,1,f,40638,46.77,0.0250,0.0000,0.34,2.992,1.03,0.45881,2.5,0.0,1,1
S08,parallel,ff_pid,1,f,40739,46.88,0.0278,0.0000,0.32,3.068,1.131,0.45989,2.78,0.0,1,1
S08,parallel,ff_pid,1,f,40839,46.71,0.0302,0.0000,0.32,3.052,1.231,0.45823,3.02,0.0,1,1
S08,parallel,ff_pid,1,f,40939,46.26,0.0330,0.0000,0.29,3.129,1.331,0.45381,3.3,0.0,1,1
S08,parallel,ff_pid,1,f,41040,45.79,0.0354,0.0000,0.30,2.899,1.432,0.4492,3.54,0.0,1,1
S08,parallel,ff_pid,1,f,41141,45.41,0.0381,0.0000,0.30,3.129,1.533,0.44547,3.81,0.0,1,1
S08,parallel,ff_pid,1,f,41242,45.37,0.0406,0.0000,0.30,3.159,1.634,0.44508,4.06,0.0,1,1
S08,parallel,ff_pid,1,f,41343,45.40,0.0433,0.0000,0.18,3.130,1.735,0.44537,4.33,0.0,1,1
S08,parallel,ff_pid,1,f,41444,45.47,0.0458,0.0000,0.12,3.113,1.836,0.44606,4.58,0.0,1,1
S08,parallel,ff_pid,1,f,41545,45.57,0.0485,0.0000,0.09,3.098,1.937,0.44704,4.85,0.0,1,1
S08,parallel,ff_pid,1,f,41647,45.82,0.0510,0.0000,0.08,3.129,2.039,0.44949,5.1,0.0,1,1
S08,parallel,ff_pid,1,f,41807,45.85,0.0549,0.0000,0.10,3.098,2.199,0.44979,5.49,0.0,1,1
S08,parallel,ff_pid,1,f,41908,45.89,0.0577,0.0000,0.12,3.021,2.3,0.45018,5.77,0.0,1,1
S08,parallel,ff_pid,1,f,42008,45.89,0.0601,0.0000,0.14,3.098,2.4,0.45018,6.01,0.0,1,1
S08,parallel,ff_pid,1,f,42108,45.93,0.0626,0.0000,0.17,3.174,2.5,0.45057,6.26,0.0,1,1
S08,parallel,ff_pid,1,f,42266,46.00,0.0662,0.0000,0.14,3.206,2.658,0.45126,6.62,0.0,1,1
S08,parallel,ff_pid,1,f,42368,46.10,0.0684,0.0000,0.12,3.159,2.76,0.45224,6.84,0.0,1,1
S08,parallel,ff_pid,1,f,42493,46.25,0.0714,0.0000,0.01,3.174,2.885,0.45371,7.14,0.0,1,1
S08,parallel,ff_pid,1,f,42594,46.38,0.0739,0.0000,-0.04,3.204,2.986,0.45499,7.39,0.0,1,1
S08,parallel,ff_pid,1,f,42695,46.59,0.0763,0.0000,-0.13,3.174,3.087,0.45705,7.63,0.0,1,1
S08,parallel,ff_pid,1,f,42795,46.61,0.0787,0.0003,-0.17,3.130,3.187,0.45724,7.87,0.03,1,1
S08,parallel,ff_pid,1,f,42896,46.57,0.0812,0.0003,-0.16,3.207,3.288,0.45685,8.12,0.03,1,1
S08,parallel,ff_pid,1,f,42997,46.52,0.0839,0.0003,-0.23,3.083,3.389,0.45636,8.39,0.03,1,1
S08,parallel,ff_pid,1,f,43097,46.46,0.0864,0.0003,-0.11,3.152,3.489,0.45577,8.64,0.03,1,1
S08,parallel,ff_pid,1,f,43198,46.41,0.0888,0.0003,-0.13,3.030,3.59,0.45528,8.88,0.03,1,1
S08,parallel,ff_pid,1,f,43299,46.44,0.0916,0.0003,-0.15,3.100,3.691,0.45558,9.16,0.03,1,1
S08,parallel,ff_pid,1,f,43400,46.50,0.0940,0.0003,-0.12,2.998,3.792,0.45616,9.4,0.03,1,1
S08,parallel,ff_pid,1,f,43502,46.59,0.0967,0.0003,-0.10,3.119,3.894,0.45705,9.67,0.03,1,1
S08,parallel,ff_pid,1,f,43603,46.71,0.0995,0.0006,-0.05,3.106,3.995,0.45823,9.95,0.06,1,1
S08,parallel,ff_pid,1,f,43704,46.89,0.1019,0.0006,-0.04,3.060,4.096,0.45999,10.19,0.06,1,1
S08,parallel,ff_pid,1,f,43807,47.02,0.1047,0.0006,-0.04,2.989,4.199,0.46127,10.47,0.06,1,1
S08,parallel,ff_pid,1,f,43909,46.99,0.1074,0.0006,-0.05,3.051,4.301,0.46097,10.74,0.06,1,1
S08,parallel,ff_pid,1,f,44010,46.79,0.1099,0.0006,-0.04,3.052,4.402,0.45901,10.99,0.06,1,1
S08,parallel,ff_pid,1,f,44112,46.50,0.1126,0.0006,-0.07,3.146,4.504,0.45616,11.26,0.06,1,1
S08,parallel,ff_pid,1,f,44226,46.22,0.1154,0.0006,-0.08,2.849,4.618,0.45342,11.54,0.06,1,1
S08,parallel,ff_pid,1,f,44326,45.98,0.1178,0.0009,-0.06,3.108,4.718,0.45106,11.78,0.09,1,1
S08,parallel,ff_pid,1,f,44427,45.88,0.1202,0.0006,-0.05,3.032,4.819,0.45008,12.02,0.06,1,0
S08,parallel,ff_pid,1,s,44530,45.88,0.1212,0.0006,-0.03,0.733,4.922,0.45008,12.12,0.06,0,0
S08,parallel,ff_pid,1,s,44633,45.70,0.1212,0.0006,-0.03,0.806,5.025,0.44832,12.12,0.06,0,0
S08,parallel,ff_pid,1,s,44734,45.25,0.1212,0.0006,-0.03,0.867,5.126,0.4439,12.12,0.06,0,0
S08,parallel,ff_pid,1,s,44836,44.65,0.1212,0.0006,-0.03,0.874,5.228,0.43802,12.12,0.06,0,0
S08,parallel,ff_pid,1,s,44937,43.98,0.1212,0.0006,-0.03,0.000,5.329,0.43144,12.12,0.06,0,0
S08,parallel,ff_pid,1,s,45037,42.93,0.1212,0.0006,-0.03,0.860,5.429,0.42114,12.12,0.06,0,0
S08,parallel,ff_pid,1,b,45138,42.40,0.1190,0.0006,-0.18,2.147,5.53,0.41594,11.9,0.06,1,0
S08,parallel,ff_pid,1,b,45238,41.14,0.1160,0.0006,-0.36,2.612,5.63,0.40358,11.6,0.06,1,1
S08,parallel,ff_pid,1,b,45356,39.73,0.1123,0.0003,-0.52,2.639,5.748,0.38975,11.23,0.03,1,1
S08,parallel,ff_pid,1,b,45521,37.31,0.1071,0.0000,-0.64,2.632,5.913,0.36601,10.71,0.0,1,1
S08,parallel,ff_pid,1,b,45623,36.48,0.1041,0.0000,-0.65,2.600,6.015,0.35787,10.41,0.0,1,1
S08,parallel,ff_pid,1,b,45724,36.39,0.1010,0.0000,-0.62,2.644,6.116,0.35699,10.1,0.0,1,1
S08,parallel,ff_pid,1,b,45824,36.33,0.0980,-0.0003,-0.57,2.810,6.216,0.3564,9.8,-0.03,1,1
S08,parallel,ff_pid,1,b,45992,36.11,0.0925,-0.0003,-0.31,2.830,6.384,0.35424,9.25,-0.03,1,1
S08,parallel,ff_pid,1,b,46093,35.92,0.0894,-0.0003,-0.21,2.793,6.485,0.35238,8.94,-0.03,1,1
S08,parallel,ff_pid,1,b,46193,35.82,0.0864,-0.0003,-0.16,2.643,6.585,0.35139,8.64,-0.03,1,1
S08,parallel,ff_pid,1,b,46361,35.84,0.0812,-0.0006,0.10,2.625,6.753,0.35159,8.12,-0.06,1,1
S08,parallel,ff_pid,1,b,46461,35.88,0.0781,-0.0006,0.03,2.579,6.853,0.35198,7.81,-0.06,1,1
S08,parallel,ff_pid,1,b,46562,35.86,0.0745,-0.0006,-0.01,2.747,6.954,0.35179,7.45,-0.06,1,1
S08,parallel,ff_pid,1,b,46664,35.88,0.0714,-0.0006,-0.02,2.625,7.056,0.35198,7.14,-0.06,1,1
S08,parallel,ff_pid,1,b,46765,35.86,0.0681,-0.0009,-0.03,2.594,7.157,0.35179,6.81,-0.09,1,1
S08,parallel,ff_pid,1,b,46865,35.64,0.0647,-0.0009,-0.05,2.671,7.257,0.34963,6.47,-0.09,1,1
S08,parallel,ff_pid,1,b,46966,35.61,0.0616,-0.0009,-0.09,2.602,7.358,0.34933,6.16,-0.09,1,1
S08,parallel,ff_pid,1,b,47067,35.63,0.0583,-0.0012,-0.04,2.689,7.459,0.34953,5.83,-0.12,1,1
S08,parallel,ff_pid,1,b,47222,35.63,0.0534,-0.0012,0.12,2.796,7.614,0.34953,5.34,-0.12,1,1
S08,parallel,ff_pid,1,b,47408,35.68,0.0473,-0.0012,0.43,2.823,7.8,0.35002,4.73,-0.12,1,1
S08,parallel,ff_pid,1,b,47509,35.73,0.0443,-0.0012,0.30,2.731,7.901,0.35051,4.43,-0.12,1,1
S08,parallel,ff_pid,1,b,47609,35.73,0.0409,-0.0012,0.21,2.843,8.001,0.35051,4.09,-0.12,1,1
S08,parallel,ff_pid,1,b,47765,35.95,0.0357,-0.0015,-0.09,2.840,8.157,0.35267,3.57,-0.15,1,1
S08,parallel,ff_pid,1,b,47866,36.23,0.0327,-0.0015,-0.15,2.686,8.258,0.35542,3.27,-0.15,1,1
S08,parallel,ff_pid,1,b,47966,36.53,0.0293,-0.0015,-0.22,2.701,8.358,0.35836,2.93,-0.15,1,1
S08,parallel,ff_pid,1,b,48094,37.32,0.0253,-0.0018,-0.21,2.792,8.486,0.36611,2.53,-0.18,1,1
S08,parallel,ff_pid,1,b,48240,37.65,0.0211,-0.0018,-0.02,2.747,8.632,0.36935,2.11,-0.18,1,1
S08,parallel,ff_pid,1,b,48341,37.89,0.0177,-0.0018,-0.01,2.763,8.733,0.3717,1.77,-0.18,1,1
S08,parallel,ff_pid,1,b,48441,38.16,0.0146,-0.0018,0.00,2.670,8.833,0.37435,1.46,-0.18,1,1
S08,parallel,ff_pid,1,b,48542,38.48,0.0116,-0.0021,0.09,2.777,8.934,0.37749,1.16,-0.21,1,1
S08,parallel,ff_pid,1,b,48713,39.13,0.0064,-0.0021,0.11,2.839,9.105,0.38387,0.64,-0.21,1,1
S08,parallel,ff_pid,1,b,48813,39.46,0.0037,-0.0021,0.19,2.976,9.205,0.3871,0.37,-0.21,1,1
S08,parallel,ff_pid,1,b,48915,39.70,0.0003,-0.0021,0.26,2.916,9.307,0.38946,0.03,-0.21,1,0
S08,parallel,ff_pid,1,s,49018,39.89,-0.0009,-0.0021,0.25,0.097,9.41,0.39132,-0.09,-0.21,0,0
S08,parallel,ff_pid,1,s,49121,40.46,-0.0009,-0.0021,0.25,0.076,9.513,0.39691,-0.09,-0.21,0,0
S08,parallel,ff_pid,1,s,49222,40.99,-0.0009,-0.0021,0.25,0.076,9.614,0.40211,-0.09,-0.21,0,0
S08,parallel,ff_pid,1,s,49323,41.66,-0.0009,-0.0021,0.25,0.034,9.715,0.40868,-0.09,-0.21,0,0
S08,parallel,ff_pid,1,s,49424,42.34,-0.0009,-0.0021,0.25,0.022,9.816,0.41536,-0.09,-0.21,0,0
S08,parallel,ff_pid,1,s,49524,42.88,-0.0009,-0.0021,0.25,0.046,9.916,0.42065,-0.09,-0.21,0,0
S08,parallel,ff_pid,2,f,49625,43.52,0.0000,-0.0021,0.36,2.045,10.017,0.42693,0.0,-0.21,1,0
S08,parallel,ff_pid,2,f,49729,43.60,0.0031,-0.0021,0.35,2.976,10.121,0.42772,0.31,-0.21,1,1
S08,parallel,ff_pid,2,f,49830,43.10,0.0058,-0.0021,0.41,2.854,10.222,0.42281,0.58,-0.21,1,1
S08,parallel,ff_pid,2,f,49932,42.42,0.0085,-0.0021,0.62,2.853,10.324,0.41614,0.85,-0.21,1,1
S08,parallel,ff_pid,2,f,50033,42.05,0.0113,-0.0021,0.62,2.961,10.425,0.41251,1.13,-0.21,1,1
S08,parallel,ff_pid,2,f,50134,42.15,0.0140,-0.0021,0.62,2.993,10.526,0.41349,1.4,-0.21,1,1
S08,parallel,ff_pid,2,f,50238,42.82,0.0171,-0.0021,0.57,2.991,10.63,0.42006,1.71,-0.21,1,1
S08,parallel,ff_pid,2,f,50340,46.16,0.0198,-0.0021,0.49,2.853,10.732,0.45283,1.98,-0.21,1,1
S08,parallel,ff_pid,2,f,50441,47.69,0.0226,-0.0021,0.41,2.915,10.833,0.46784,2.26,-0.21,1,1
S08,parallel,ff_pid,2,f,50545,48.52,0.0253,-0.0021,0.38,3.006,10.937,0.47598,2.53,-0.21,1,1
S08,parallel,ff_pid,2,f,50646,48.56,0.0281,-0.0021,0.31,3.021,11.038,0.47637,2.81,-0.21,1,1
S08,parallel,ff_pid,2,f,50748,48.11,0.0308,-0.0021,0.26,3.068,11.14,0.47196,3.08,-0.21,1,1
S08,parallel,ff_pid,2,f,50849,47.44,0.0336,-0.0018,0.23,3.082,11.241,0.46539,3.36,-0.18,1,1
S08,parallel,ff_pid,2,f,50951,46.02,0.0360,-0.0018,0.24,3.067,11.343,0.45146,3.6,-0.18,1,1
S08,parallel,ff_pid,2,f,51053,45.52,0.0388,-0.0018,0.25,3.128,11.445,0.44655,3.88,-0.18,1,1
S08,parallel,ff_pid,2,f,51156,45.23,0.0415,-0.0018,0.25,3.082,11.548,0.44371,4.15,-0.18,1,1
S08,parallel,ff_pid,2,f,51258,45.09,0.0439,-0.0018,0.14,3.282,11.65,0.44233,4.39,-0.18,1,1
S08,parallel,ff_pid,2,f,51359,45.10,0.0467,-0.0018,0.10,3.177,11.751,0.44243,4.67,-0.18,1,1
S08,parallel,ff_pid,2,f,51461,45.46,0.0491,-0.0018,0.09,3.098,11.853,0.44596,4.91,-0.18,1,1
S08,parallel,ff_pid,2,f,51565,45.60,0.0519,-0.0018,0.09,3.098,11.957,0.44734,5.19,-0.18,1,1
S08,parallel,ff_pid,2,f,51667,45.68,0.0543,-0.0015,0.10,3.098,12.059,0.44812,5.43,-0.15,1,1
S08,parallel,ff_pid,2,f,51768,45.72,0.0571,-0.0015,0.14,3.265,12.16,0.44851,5.71,-0.15,1,1
S08,parallel,ff_pid,2,f,51889,45.69,0.0598,-0.0015,0.05,2.960,12.281,0.44822,5.98,-0.15,1,1
S08,parallel,ff_pid,2,f,52015,45.74,0.0629,-0.0015,0.36,3.281,12.407,0.44871,6.29,-0.15,1,1
S08,parallel,ff_pid,2,f,52115,45.85,0.0653,-0.0015,0.24,3.113,12.507,0.44979,6.53,-0.15,1,1
S08,parallel,ff_pid,2,f,52215,45.94,0.0677,-0.0015,0.18,3.174,12.607,0.45067,6.77,-0.15,1,1
S08,parallel,ff_pid,2,f,52367,46.15,0.0714,-0.0015,0.00,3.205,12.759,0.45273,7.14,-0.15,1,1
S08,parallel,ff_pid,2,f,52533,46.34,0.0754,-0.0015,-0.12,3.235,12.925,0.4546,7.54,-0.15,1,1
S08,parallel,ff_pid,2,f,52633,46.41,0.0778,-0.0015,-0.18,3.220,13.025,0.45528,7.78,-0.15,1,1
S08,parallel,ff_pid,2,f,52733,46.41,0.0803,-0.0015,-0.18,3.101,13.125,0.45528,8.03,-0.15,1,1
S08,parallel,ff_pid,2,f,52834,46.47,0.0830,-0.0012,-0.23,3.205,13.226,0.45587,8.3,-0.12,1,1
S08,parallel,ff_pid,2,f,52934,46.43,0.0854,-0.0012,-0.21,3.160,13.326,0.45548,8.54,-0.12,1,1
S08,parallel,ff_pid,2,f,53034,46.37,0.0879,-0.0012,-0.16,3.208,13.426,0.45489,8.79,-0.12,1,1
S08,parallel,ff_pid,2,f,53135,46.31,0.0906,-0.0012,-0.15,3.117,13.527,0.4543,9.06,-0.12,1,1
S08,parallel,ff_pid,2,f,53236,46.26,0.0931,-0.0012,-0.15,3.118,13.628,0.45381,9.31,-0.12,1,1
S08,parallel,ff_pid,2,f,53336,46.27,0.0958,-0.0012,-0.15,3.038,13.728,0.45391,9.58,-0.12,1,1
S08,parallel,ff_pid,2,f,53494,46.42,0.0998,-0.0012,-0.15,2.954,13.886,0.45538,9.98,-0.12,1,1
S08,parallel,ff_pid,2,f,53619,46.53,0.1031,-0.0012,-0.10,3.122,14.011,0.45646,10.31,-0.12,1,1
S08,parallel,ff_pid,2,f,53720,46.64,0.1056,-0.0012,-0.10,3.032,14.112,0.45754,10.56,-0.12,1,1
S08,parallel,ff_pid,2,f,53821,46.65,0.1083,-0.0015,-0.10,2.991,14.213,0.45764,10.83,-0.15,1,1
S08,parallel,ff_pid,2,f,53921,46.52,0.1108,-0.0015,-0.13,3.050,14.313,0.45636,11.08,-0.15,1,1
S08,parallel,ff_pid,2,f,54022,46.30,0.1135,-0.0015,-0.14,3.060,14.414,0.4542,11.35,-0.15,1,1
S08,parallel,ff_pid,2,f,54122,46.08,0.1160,-0.0012,-0.12,3.056,14.514,0.45204,11.6,-0.12,1,1
S08,parallel,ff_pid,2,f,54222,45.84,0.1187,-0.0012,-0.09,3.110,14.614,0.44969,11.87,-0.12,1,0
S08,parallel,ff_pid,2,s,54324,45.53,0.1212,-0.0012,-0.08,0.928,14.716,0.44665,12.12,-0.12,0,0
S08,parallel,ff_pid,2,s,54425,45.45,0.1212,-0.0012,-0.07,0.710,14.817,0.44586,12.12,-0.12,0,0
S08,parallel,ff_pid,2,s,54525,45.19,0.1212,-0.0012,-0.07,0.751,14.917,0.44331,12.12,-0.12,0,0
S08,parallel,ff_pid,2,s,54626,44.70,0.1212,-0.0012,-0.07,0.812,15.018,0.43851,12.12,-0.12,0,0
S08,parallel,ff_pid,2,s,54727,44.16,0.1212,-0.0012,-0.07,0.836,15.119,0.43321,12.12,-0.12,0,0
S08,parallel,ff_pid,2,s,54832,43.62,0.1212,-0.0012,-0.08,0.864,15.224,0.42791,12.12,-0.12,0,0
