participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S06,parallel,ff_pid,1,f,69716,40.15,0.0000,0.0000,-0.04,0.063,0.0,0.39387,0.0,0.0,1,0
S06,parallel,ff_pid,1,f,69817,40.30,0.0003,0.0000,0.10,0.992,0.101,0.39534,0.03,0.0,1,1
S06,parallel,ff_pid,1,f,69917,40.63,0.0021,0.0000,0.53,2.585,0.201,0.39858,0.21,0.0,1,1
S06,parallel,ff_pid,1,f,70018,41.13,0.0052,0.0000,0.70,2.839,0.302,0.40349,0.52,0.0,1,1
S06,parallel,ff_pid,1,f,70216,42.71,0.0107,0.0000,0.70,2.705,0.5,0.41899,1.07,0.0,1,1
S06,parallel,ff_pid,1,f,70316,43.74,0.0134,0.0000,0.65,2.846,0.6,0.42909,1.34,0.0,1,1
S06,parallel,ff_pid,1,f,70416,44.72,0.0162,0.0000,0.59,2.916,0.7,0.4387,1.62,0.0,1,1
S06,parallel,ff_pid,1,f,70516,45.82,0.0192,0.0000,0.48,2.891,0.8,0.44949,1.92,0.0,1,1
S06,parallel,ff_pid,1,f,70617,45.99,0.0220,0.0000,0.42,2.994,0.901,0.45116,2.2,0.0,1,1
S06,parallel,ff_pid,1,f,70719,45.98,0.0247,0.0000,0.31,2.930,1.003,0.45106,2.47,0.0,1,1
S06,parallel,ff_pid,1,f,70823,45.86,0.0275,0.0000,0.26,3.037,1.107,0.44989,2.75,0.0,1,1
S06,parallel,ff_pid,1,f,70927,45.87,0.0302,0.0000,0.22,3.022,1.211,0.44998,3.02,0.0,1,1
S06,parallel,ff_pid,1,f,71089,46.61,0.0348,0.0000,0.10,3.144,1.373,0.45724,3.48,0.0,1,1
S06,parallel,ff_pid,1,f,71189,47.02,0.0372,0.0000,0.12,2.976,1.473,0.46127,3.72,0.0,1,1
S06,parallel,ff_pid,1,f,71361,47.84,0.0421,0.0000,0.05,3.189,1.645,0.46931,4.21,0.0,1,1
S06,parallel,ff_pid,1,f,71461,47.82,0.0446,0.0000,0.08,3.021,1.745,0.46911,4.46,0.0,1,1
S06,parallel,ff_pid,1,f,71561,47.71,0.0470,0.0000,0.07,3.159,1.845,0.46804,4.7,0.0,1,1
S06,parallel,ff_pid,1,f,71717,47.48,0.0510,0.0000,0.16,3.010,2.001,0.46578,5.1,0.0,1,1
S06,parallel,ff_pid,1,f,71817,47.27,0.0537,0.0000,0.20,3.053,2.101,0.46372,5.37,0.0,1,1
S06,parallel,ff_pid,1,f,71949,47.23,0.0568,0.0000,0.24,3.113,2.233,0.46333,5.68,0.0,1,1
S06,parallel,ff_pid,1,f,72049,47.11,0.0592,0.0000,0.32,3.021,2.333,0.46215,5.92,0.0,1,1
S06,parallel,ff_pid,1,f,72154,47.08,0.0620,0.0000,0.32,2.961,2.438,0.46185,6.2,0.0,1,1
S06,parallel,ff_pid,1,f,72300,47.01,0.0653,0.0000,0.61,3.067,2.584,0.46117,6.53,0.0,1,1
S06,parallel,ff_pid,1,f,72400,46.94,0.0681,0.0000,0.49,3.159,2.684,0.46048,6.81,0.0,1,1
S06,parallel,ff_pid,1,f,72500,46.75,0.0705,0.0000,0.43,3.129,2.784,0.45862,7.05,0.0,1,1
S06,parallel,ff_pid,1,f,72601,46.51,0.0729,0.0000,0.34,3.082,2.885,0.45626,7.29,0.0,1,1
S06,parallel,ff_pid,1,f,72702,46.38,0.0754,0.0000,0.29,3.082,2.986,0.45499,7.54,0.0,1,1
S06,parallel,ff_pid,1,f,72807,46.21,0.0781,0.0000,0.23,3.037,3.091,0.45332,7.81,0.0,1,1
S06,parallel,ff_pid,1,f,72910,46.11,0.0809,0.0000,0.14,3.145,3.194,0.45234,8.09,0.0,1,1
S06,parallel,ff_pid,1,f,73014,46.02,0.0833,0.0000,0.12,2.997,3.298,0.45146,8.33,0.0,1,1
S06,parallel,ff_pid,1,f,73118,45.98,0.0861,0.0000,0.18,2.979,3.402,0.45106,8.61,0.0,1,1
S06,parallel,ff_pid,1,f,73222,45.97,0.0888,0.0000,0.08,3.056,3.506,0.45097,8.88,0.0,1,1
S06,parallel,ff_pid,1,f,73326,46.02,0.0916,0.0000,0.08,3.006,3.61,0.45146,9.16,0.0,1,1
S06,parallel,ff_pid,1,f,73430,46.19,0.0940,0.0000,0.05,2.917,3.714,0.45312,9.4,0.0,1,1
S06,parallel,ff_pid,1,f,73534,46.45,0.0967,0.0000,0.04,2.898,3.818,0.45567,9.67,0.0,1,1
S06,parallel,ff_pid,1,f,73638,47.27,0.0995,0.0000,-0.03,2.947,3.922,0.46372,9.95,0.0,1,1
