participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S03,parallel,ff_pid,1,s,47251,40.07,0.0000,0.0000,0.04,0.076,0.0,0.39309,0.0,0.0,0,0
S03,parallel,ff_pid,1,s,47351,40.28,0.0000,0.0000,0.09,1.023,0.1,0.39515,0.0,0.0,0,0
S03,parallel,ff_pid,1,f,47451,40.44,0.0021,0.0000,0.30,2.701,0.2,0.39672,0.21,0.0,1,0
S03,parallel,ff_pid,1,f,47552,40.77,0.0052,0.0000,0.48,2.885,0.301,0.39995,0.52,0.0,1,1
S03,parallel,ff_pid,1,f,47652,41.83,0.0079,0.0000,0.58,2.976,0.401,0.41035,0.79,0.0,1,1
S03,parallel,ff_pid,1,f,47755,43.68,0.0107,0.0000,0.66,2.869,0.504,0.4285,1.07,0.0,1,1
S03,parallel,ff_pid,1,f,47859,48.16,0.0137,0.0000,0.67,2.885,0.608,0.47245,1.37,0.0,1,1
S03,parallel,ff_pid,1,f,47962,50.02,0.0165,0.0000,0.69,2.901,0.711,0.4907,1.65,0.0,1,1
S03,parallel,ff_pid,1,f,48062,50.68,0.0192,0.0000,0.63,2.915,0.811,0.49717,1.92,0.0,1,1
S03,parallel,ff_pid,1,f,48162,50.17,0.0220,0.0000,0.53,2.992,0.911,0.49217,2.2,0.0,1,1
S03,parallel,ff_pid,1,f,48263,49.21,0.0247,0.0000,0.47,2.797,1.012,0.48275,2.47,0.0,1,1
S03,parallel,ff_pid,1,f,48364,48.17,0.0275,0.0000,0.46,2.915,1.113,0.47255,2.75,0.0,1,1
S03,parallel,ff_pid,1,f,48473,47.19,0.0305,0.0000,0.34,2.991,1.222,0.46293,3.05,0.0,1,1
S03,parallel,ff_pid,1,f,48573,46.62,0.0330,0.0000,0.27,3.022,1.322,0.45734,3.3,0.0,1,1
S03,parallel,ff_pid,1,f,48674,46.42,0.0357,0.0000,0.18,2.960,1.423,0.45538,3.57,0.0,1,1
S03,parallel,ff_pid,1,f,48869,46.09,0.0409,0.0003,0.11,3.082,1.618,0.45214,4.09,0.03,1,1
S03,parallel,ff_pid,1,f,48969,46.11,0.0433,0.0003,0.09,3.052,1.718,0.45234,4.33,0.03,1,1
S03,parallel,ff_pid,1,f,49069,46.21,0.0461,0.0003,0.03,3.098,1.818,0.45332,4.61,0.03,1,1
