participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S10,parallel,ff_pid,1,s,52046,39.02,0.0000,0.0000,-0.01,0.068,0.0,0.38279,0.0,0.0,0,0
S10,parallel,ff_pid,1,s,52147,39.21,0.0000,0.0000,0.10,1.114,0.101,0.38465,0.0,0.0,0,0
S10,parallel,ff_pid,1,f,52339,39.63,0.0049,0.0000,0.36,2.796,0.293,0.38877,0.49,0.0,1,0
S10,parallel,ff_pid,1,f,52439,39.98,0.0076,0.0000,0.52,2.731,0.393,0.3922,0.76,0.0,1,1
S10,parallel,ff_pid,1,f,52544,40.62,0.0107,0.0000,0.68,2.886,0.498,0.39848,1.07,0.0,1,1
S10,parallel,ff_pid,1,f,52644,42.00,0.0134,0.0000,0.59,2.914,0.598,0.41202,1.34,0.0,1,1
S10,parallel,ff_pid,1,f,52795,46.00,0.0177,0.0000,0.54,2.960,0.749,0.45126,1.77,0.0,1,1
S10,parallel,ff_pid,1,f,52895,47.62,0.0204,0.0000,0.46,2.961,0.849,0.46715,2.04,0.0,1,1
S10,parallel,ff_pid,1,f,52996,48.67,0.0235,0.0000,0.37,2.976,0.95,0.47745,2.35,0.0,1,1
S10,parallel,ff_pid,1,f,53097,48.97,0.0262,0.0000,0.31,3.006,1.051,0.4804,2.62,0.0,1,1
S10,parallel,ff_pid,1,f,53197,48.34,0.0290,0.0000,0.23,2.931,1.151,0.47422,2.9,0.0,1,1
S10,parallel,ff_pid,1,f,53299,48.23,0.0317,0.0000,0.20,3.008,1.253,0.47314,3.17,0.0,1,1
S10,parallel,ff_pid,1,f,53402,48.29,0.0345,0.0000,0.15,3.054,1.356,0.47372,3.45,0.0,1,1
S10,parallel,ff_pid,1,f,53506,48.39,0.0372,0.0000,0.15,3.008,1.46,0.47471,3.72,0.0,1,1
S10,parallel,ff_pid,1,f,53609,48.49,0.0400,0.0000,0.13,3.143,1.563,0.47569,4.0,0.0,1,1
S10,parallel,ff_pid,1,f,53713,48.85,0.0427,0.0000,0.17,2.936,1.667,0.47922,4.27,0.0,1,1
S10,parallel,ff_pid,1,f,53817,49.13,0.0455,0.0000,0.14,3.115,1.771,0.48197,4.55,0.0,1,1
S10,parallel,ff_pid,1,f,53920,49.32,0.0482,0.0000,0.12,3.023,1.874,0.48383,4.82,0.0,1,1
S10,parallel,ff_pid,1,f,54024,49.43,0.0510,0.0000,0.13,3.175,1.978,0.48491,5.1,0.0,1,1
S10,parallel,ff_pid,1,f,54127,49.41,0.0534,0.0000,0.10,3.025,2.081,0.48471,5.34,0.0,1,1
S10,parallel,ff_pid,1,f,54230,48.78,0.0562,0.0000,0.06,3.011,2.184,0.47853,5.62,0.0,1,1
S10,parallel,ff_pid,1,f,54334,48.42,0.0589,0.0000,0.05,2.968,2.288,0.475,5.89,0.0,1,1
S10,parallel,ff_pid,1,f,54437,48.09,0.0613,0.0000,0.04,3.133,2.391,0.47176,6.13,0.0,1,1
S10,parallel,ff_pid,1,f,54540,47.80,0.0641,0.0000,0.09,3.071,2.494,0.46892,6.41,0.0,1,1
S10,parallel,ff_pid,1,f,54644,47.61,0.0665,0.0000,0.12,3.045,2.598,0.46705,6.65,0.0,1,1
S10,parallel,ff_pid,1,f,54845,47.59,0.0717,0.0003,0.24,3.081,2.799,0.46686,7.17,0.03,1,1
S10,parallel,ff_pid,1,f,54945,47.71,0.0742,0.0003,0.19,3.030,2.899,0.46804,7.42,0.03,1,1
S10,parallel,ff_pid,1,f,55045,47.85,0.0769,0.0003,0.16,3.034,2.999,0.46941,7.69,0.03,1,1
