participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S02,parallel,ff_pid,1,f,50197,39.26,0.0000,0.0000,0.02,0.000,0.0,0.38514,0.0,0.0,1,0
S02,parallel,ff_pid,1,f,50297,39.26,0.0003,0.0000,0.11,1.114,0.1,0.38514,0.03,0.0,1,1
S02,parallel,ff_pid,1,f,50397,39.01,0.0024,0.0000,0.41,2.670,0.2,0.38269,0.24,0.0,1,1
S02,parallel,ff_pid,1,f,50498,39.26,0.0052,0.0000,0.54,2.885,0.301,0.38514,0.52,0.0,1,1
S02,parallel,ff_pid,1,f,50598,40.46,0.0079,0.0000,0.58,2.933,0.401,0.39691,0.79,0.0,1,1
S02,parallel,ff_pid,1,f,50716,42.68,0.0113,0.0000,0.53,2.918,0.519,0.41869,1.13,0.0,1,1
S02,parallel,ff_pid,1,f,50816,45.56,0.0140,0.0000,0.51,2.839,0.619,0.44694,1.4,0.0,1,1
S02,parallel,ff_pid,1,f,50917,50.89,0.0171,0.0000,0.49,2.946,0.72,0.49923,1.71,0.0,1,1
S02,parallel,ff_pid,1,f,51018,52.17,0.0198,0.0000,0.53,2.961,0.821,0.51179,1.98,0.0,1,1
S02,parallel,ff_pid,1,f,51118,52.33,0.0226,0.0000,0.39,2.977,0.921,0.51336,2.26,0.0,1,1
S02,parallel,ff_pid,1,f,51219,51.93,0.0253,0.0000,0.32,2.979,1.022,0.50943,2.53,0.0,1,1
S02,parallel,ff_pid,1,f,51323,51.52,0.0281,0.0000,0.37,3.069,1.126,0.50541,2.81,0.0,1,1
S02,parallel,ff_pid,1,f,51426,50.95,0.0308,0.0003,0.33,2.961,1.229,0.49982,3.08,0.03,1,1
S02,parallel,ff_pid,1,f,51529,50.82,0.0336,0.0003,0.24,3.007,1.332,0.49854,3.36,0.03,1,1
S02,parallel,ff_pid,1,f,51631,50.47,0.0363,0.0003,0.20,3.022,1.434,0.49511,3.63,0.03,1,1
S02,parallel,ff_pid,1,f,51731,49.95,0.0388,0.0003,0.19,2.991,1.534,0.49001,3.88,0.03,1,1
S02,parallel,ff_pid,1,f,51831,49.50,0.0412,0.0003,0.17,2.991,1.634,0.48559,4.12,0.03,1,1
S02,parallel,ff_pid,1,f,51931,49.17,0.0436,0.0003,0.16,3.067,1.734,0.48236,4.36,0.03,1,1
S02,parallel,ff_pid,1,f,52032,48.83,0.0461,0.0003,0.15,3.022,1.835,0.47902,4.61,0.03,1,1
S02,parallel,ff_pid,1,f,52133,48.91,0.0488,0.0003,0.17,3.113,1.936,0.47981,4.88,0.03,1,1
S02,parallel,ff_pid,1,f,52246,49.00,0.0513,0.0003,0.13,2.976,2.049,0.48069,5.13,0.03,1,1
S02,parallel,ff_pid,1,f,52347,49.03,0.0540,0.0003,0.15,3.067,2.15,0.48098,5.4,0.03,1,1
S02,parallel,ff_pid,1,f,52518,49.10,0.0583,0.0003,0.21,3.130,2.321,0.48167,5.83,0.03,1,1
S02,parallel,ff_pid,1,f,52619,49.02,0.0607,0.0003,0.15,3.098,2.422,0.48089,6.07,0.03,1,1
S02,parallel,ff_pid,1,f,52809,48.79,0.0656,0.0003,-0.09,3.485,2.612,0.47863,6.56,0.03,1,1
S02,parallel,ff_pid,1,f,52909,48.66,0.0681,0.0006,-0.06,3.206,2.712,0.47735,6.81,0.06,1,1
S02,parallel,ff_pid,1,f,53010,48.53,0.0705,0.0006,-0.09,3.101,2.813,0.47608,7.05,0.06,1,1
S02,parallel,ff_pid,1,f,53110,48.49,0.0726,0.0003,-0.10,3.157,2.913,0.47569,7.26,0.03,1,1
S02,parallel,ff_pid,1,f,53211,48.44,0.0751,0.0003,-0.09,3.161,3.014,0.4752,7.51,0.03,1,1
S02,parallel,ff_pid,1,f,53371,48.41,0.0787,0.0003,0.03,3.224,3.174,0.4749,7.87,0.03,1,1
S02,parallel,ff_pid,1,f,53471,48.47,0.0809,0.0003,0.10,3.115,3.274,0.47549,8.09,0.03,1,1
S02,parallel,ff_pid,1,f,53572,48.61,0.0833,0.0003,0.14,3.068,3.375,0.47686,8.33,0.03,1,1
S02,parallel,ff_pid,1,f,53672,48.76,0.0858,0.0003,0.11,3.143,3.475,0.47834,8.58,0.03,1,1
