participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S19,parallel,ff_pid,1,s,75250,39.16,0.0000,0.0000,-0.03,0.034,0.0,0.38416,0.0,0.0,0,0
S19,parallel,ff_pid,1,s,75396,39.15,0.0000,0.0000,-0.18,0.449,0.146,0.38406,0.0,0.0,0,0
S19,parallel,ff_pid,1,f,75497,39.12,0.0015,0.0000,0.05,2.091,0.247,0.38377,0.15,0.0,1,0
S19,parallel,ff_pid,1,f,75597,39.20,0.0043,0.0000,0.33,2.945,0.347,0.38455,0.43,0.0,1,1
S19,parallel,ff_pid,1,f,75697,40.42,0.0070,0.0000,0.58,2.823,0.447,0.39652,0.7,0.0,1,1
S19,parallel,ff_pid,1,f,75798,41.88,0.0101,0.0000,0.68,2.884,0.548,0.41084,1.01,0.0,1,1
S19,parallel,ff_pid,1,f,75907,43.80,0.0131,0.0003,0.70,3.023,0.657,0.42968,1.31,0.03,1,1
S19,parallel,ff_pid,1,f,76007,45.51,0.0162,0.0003,0.72,2.961,0.757,0.44645,1.62,0.03,1,1
S19,parallel,ff_pid,1,f,76108,46.94,0.0189,0.0003,0.72,2.930,0.858,0.46048,1.89,0.03,1,1
S19,parallel,ff_pid,1,f,76208,47.80,0.0217,0.0003,0.70,2.991,0.958,0.46892,2.17,0.03,1,1
S19,parallel,ff_pid,1,f,76387,48.02,0.0269,0.0000,0.59,2.991,1.137,0.47108,2.69,0.0,1,1
S19,parallel,ff_pid,1,f,76554,48.34,0.0314,0.0003,0.33,2.945,1.304,0.47422,3.14,0.03,1,1
S19,parallel,ff_pid,1,f,76741,49.61,0.0363,0.0000,-0.03,3.117,1.491,0.48667,3.63,0.0,1,1
S19,parallel,ff_pid,1,f,76841,50.50,0.0391,0.0000,0.05,3.068,1.591,0.4954,3.91,0.0,1,1
S19,parallel,ff_pid,1,f,77035,51.79,0.0439,0.0003,0.13,3.086,1.785,0.50806,4.39,0.03,1,1
S19,parallel,ff_pid,1,f,77135,52.27,0.0467,0.0003,0.11,3.154,1.885,0.51277,4.67,0.03,1,1
S19,parallel,ff_pid,1,f,77267,52.84,0.0500,0.0000,0.10,3.146,2.017,0.51836,5.0,0.0,1,1
S19,parallel,ff_pid,1,f,77367,53.33,0.0525,0.0000,0.06,3.130,2.117,0.52317,5.25,0.0,1,1
S19,parallel,ff_pid,1,f,77468,53.75,0.0552,0.0000,0.05,3.175,2.218,0.52729,5.52,0.0,1,1
S19,parallel,ff_pid,1,f,77568,54.00,0.0577,0.0000,0.05,3.128,2.318,0.52974,5.77,0.0,1,1
S19,parallel,ff_pid,1,f,77669,54.06,0.0601,0.0000,0.03,3.205,2.419,0.53033,6.01,0.0,1,1
S19,parallel,ff_pid,1,f,77769,53.85,0.0629,0.0003,0.02,3.113,2.519,0.52827,6.29,0.03,1,1
S19,parallel,ff_pid,1,f,77872,53.44,0.0653,0.0003,0.07,3.175,2.622,0.52425,6.53,0.03,1,1
S19,parallel,ff_pid,1,f,77976,53.48,0.0681,0.0003,0.05,3.115,2.726,0.52464,6.81,0.03,1,1
S19,parallel,ff_pid,1,f,78079,53.81,0.0708,0.0003,0.10,3.205,2.829,0.52788,7.08,0.03,1,1
S19,parallel,ff_pid,1,f,78183,54.31,0.0735,0.0003,0.10,3.161,2.933,0.53278,7.35,0.03,1,1
S19,parallel,ff_pid,1,f,78286,54.89,0.0760,0.0003,0.07,3.068,3.036,0.53847,7.6,0.03,1,1
S19,parallel,ff_pid,1,f,78390,55.32,0.0787,0.0003,0.16,3.093,3.14,0.54269,7.87,0.03,1,1
S19,parallel,ff_pid,1,f,78494,55.08,0.0815,0.0006,0.19,3.060,3.244,0.54033,8.15,0.06,1,1
S19,parallel,ff_pid,1,f,78614,54.58,0.0845,0.0003,0.25,2.936,3.364,0.53543,8.45,0.03,1,1
S19,parallel,ff_pid,1,f,78714,53.86,0.0873,0.0003,0.29,2.983,3.464,0.52837,8.73,0.03,1,1
S19,parallel,ff_pid,1,f,78814,53.21,0.0897,0.0003,0.32,3.103,3.564,0.52199,8.97,0.03,1,1
S19,parallel,ff_pid,1,f,78949,52.14,0.0934,0.0003,0.17,3.119,3.699,0.51149,9.34,0.03,1,1
S19,parallel,ff_pid,1,f,79137,51.15,0.0983,0.0003,0.00,2.967,3.887,0.50178,9.83,0.03,1,1
S19,parallel,ff_pid,1,f,79237,50.88,0.1010,0.0003,0.11,2.961,3.987,0.49913,10.1,0.03,1,1
S19,parallel,ff_pid,1,f,79337,50.75,0.1038,0.0003,0.12,2.994,4.087,0.49786,10.38,0.03,1,1
S19,parallel,ff_pid,1,f,79437,50.97,0.1068,0.0003,0.12,3.101,4.187,0.50002,10.68,0.03,1,1
S19,parallel,ff_pid,1,f,79539,50.97,0.1096,0.0003,0.05,3.010,4.289,0.50002,10.96,0.03,1,1
S19,parallel,ff_pid,1,f,79644,50.86,0.1123,0.0003,0.02,3.101,4.394,0.49894,11.23,0.03,1,1
S19,parallel,ff_pid,1,f,79764,50.21,0.1157,0.0003,-0.15,3.212,4.514,0.49256,11.57,0.03,1,1
S19,parallel,ff_pid,1,f,79864,50.21,0.1181,0.0006,-0.15,3.066,4.614,0.49256,11.81,0.06,1,0
S19,parallel,ff_pid,1,s,79968,49.52,0.1208,0.0006,-0.11,2.466,4.718,0.48579,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80069,49.27,0.1208,0.0006,-0.08,0.782,4.819,0.48334,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80170,48.90,0.1208,0.0006,-0.08,0.834,4.92,0.47971,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80271,48.24,0.1208,0.0006,-0.08,0.803,5.021,0.47323,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80372,47.52,0.1208,0.0006,-0.08,0.864,5.122,0.46617,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80473,45.94,0.1208,0.0006,-0.08,0.000,5.223,0.45067,12.08,0.06,0,0
S19,parallel,ff_pid,1,s,80573,45.30,0.1208,0.0006,-0.08,0.573,5.323,0.44439,12.08,0.06,0,0
S19,parallel,ff_pid,1,b,80675,44.69,0.1187,0.0006,-0.32,2.218,5.425,0.43841,11.87,0.06,1,0
S19,parallel,ff_pid,1,b,80777,41.99,0.1157,0.0003,-0.46,2.553,5.527,0.41192,11.57,0.03,1,1
S19,parallel,ff_pid,1,b,80881,37.08,0.1123,0.0003,-0.49,2.586,5.631,0.36375,11.23,0.03,1,1
S19,parallel,ff_pid,1,b,80985,32.13,0.1093,0.0003,-0.56,2.657,5.735,0.3152,10.93,0.03,1,1
S19,parallel,ff_pid,1,b,81088,23.87,0.1059,0.0003,-0.52,2.792,5.838,0.23416,10.59,0.03,1,1
S19,parallel,ff_pid,1,b,81192,23.16,0.1028,0.0003,-0.53,2.757,5.942,0.2272,10.28,0.03,1,1
S19,parallel,ff_pid,1,b,81296,24.83,0.0998,0.0000,-0.52,2.773,6.046,0.24358,9.98,0.0,1,1
S19,parallel,ff_pid,1,b,81401,26.68,0.0967,0.0000,-0.59,2.743,6.151,0.26173,9.67,0.0,1,1
S19,parallel,ff_pid,1,b,81519,28.50,0.0934,0.0000,-0.68,2.826,6.269,0.27958,9.34,0.0,1,1
S19,parallel,ff_pid,1,b,81619,29.86,0.0903,0.0000,-0.65,2.814,6.369,0.29293,9.03,0.0,1,1
S19,parallel,ff_pid,1,b,81719,30.81,0.0876,0.0000,-0.65,2.791,6.469,0.30225,8.76,0.0,1,1
S19,parallel,ff_pid,1,b,81820,32.21,0.0845,0.0000,-0.59,2.817,6.57,0.31598,8.45,0.0,1,1
S19,parallel,ff_pid,1,b,81920,34.81,0.0815,0.0000,-0.51,2.755,6.67,0.34149,8.15,0.0,1,1
S19,parallel,ff_pid,1,b,82061,40.59,0.0775,0.0000,-0.46,2.750,6.811,0.39819,7.75,0.0,1,1
S19,parallel,ff_pid,1,b,82161,42.76,0.0745,0.0000,-0.28,2.759,6.911,0.41948,7.45,0.0,1,1
S19,parallel,ff_pid,1,b,82262,44.06,0.0714,0.0000,-0.09,2.733,7.012,0.43223,7.14,0.0,1,1
S19,parallel,ff_pid,1,b,82362,43.65,0.0684,0.0000,0.07,2.735,7.112,0.42821,6.84,0.0,1,1
S19,parallel,ff_pid,1,b,82499,40.12,0.0644,0.0000,0.05,2.739,7.249,0.39358,6.44,0.0,1,1
S19,parallel,ff_pid,1,b,82599,38.51,0.0613,0.0000,0.29,2.664,7.349,0.37778,6.13,0.0,1,1
S19,parallel,ff_pid,1,b,82700,37.11,0.0580,0.0000,0.26,2.657,7.45,0.36405,5.8,0.0,1,1
S19,parallel,ff_pid,1,b,82800,36.17,0.0549,0.0000,0.21,2.641,7.55,0.35483,5.49,0.0,1,1
S19,parallel,ff_pid,1,b,82901,35.85,0.0519,0.0000,0.21,2.838,7.651,0.35169,5.19,0.0,1,1
S19,parallel,ff_pid,1,b,83001,35.92,0.0485,0.0000,0.22,2.701,7.751,0.35238,4.85,0.0,1,1
S19,parallel,ff_pid,1,b,83184,36.06,0.0430,-0.0003,0.16,2.686,7.934,0.35375,4.3,-0.03,1,1
S19,parallel,ff_pid,1,b,83284,36.00,0.0400,-0.0003,0.10,2.670,8.034,0.35316,4.0,-0.03,1,1
S19,parallel,ff_pid,1,b,83385,35.91,0.0369,-0.0003,0.05,2.716,8.135,0.35228,3.69,-0.03,1,1
S19,parallel,ff_pid,1,b,83485,35.81,0.0339,-0.0003,0.01,2.701,8.235,0.3513,3.39,-0.03,1,1
S19,parallel,ff_pid,1,b,83586,36.04,0.0308,-0.0006,0.04,2.703,8.336,0.35355,3.08,-0.06,1,1
S19,parallel,ff_pid,1,b,83690,36.19,0.0275,-0.0006,0.07,2.748,8.44,0.35502,2.75,-0.06,1,1
S19,parallel,ff_pid,1,b,83792,36.47,0.0241,-0.0006,0.02,2.778,8.542,0.35777,2.41,-0.06,1,1
S19,parallel,ff_pid,1,b,83896,36.87,0.0211,-0.0006,0.02,2.701,8.646,0.36169,2.11,-0.06,1,1
S19,parallel,ff_pid,1,b,83996,37.41,0.0180,-0.0009,-0.09,2.671,8.746,0.36699,1.8,-0.09,1,1
S19,parallel,ff_pid,1,b,84101,37.43,0.0150,-0.0009,-0.03,2.659,8.851,0.36719,1.5,-0.09,1,1
S19,parallel,ff_pid,1,b,84201,37.20,0.0119,-0.0012,-0.10,2.858,8.951,0.36493,1.19,-0.12,1,1
